target_cell_id,pc1_band,pc2_band,pc3_band,target_pc1_range,target_pc2_range,target_pc3_range,target_pc1_center,target_pc2_center,target_pc3_center,target_region_description,desired_prompt_count,priority
pc1_low__pc2_low__pc3_low,low,low,low,"[-60.939, -13.924]","[-44.008, -8.534]","[-43.371, -5.698]",-37.43142297670264,-26.271102231993915,-24.534363814869124,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",3,high
pc1_low__pc2_low__pc3_mid,low,low,mid,"[-60.939, -13.924]","[-44.008, -8.534]","[-5.698, 4.816]",-37.43142297670264,-26.271102231993915,-0.44094982243312364,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; balanced relation to systems and norms",3,high
pc1_low__pc2_low__pc3_high,low,low,high,"[-60.939, -13.924]","[-44.008, -8.534]","[4.816, 36.364]",-37.43142297670264,-26.271102231993915,20.58997040991268,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; integrated abstraction, reflective distance, broad synthesis, accumulated context; perturbative, stress-testing, adversarial, challenging, or interventionist stance",3,high
pc1_low__pc2_mid__pc3_low,low,mid,low,"[-60.939, -13.924]","[-8.534, 4.215]","[-43.371, -5.698]",-37.43142297670264,-2.1597675382810855,-24.534363814869124,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; mixed local immediacy and reflective synthesis; stabilizing, repairing, nurturing, preserving, or reconciling stance",3,high
pc1_low__pc2_mid__pc3_mid,low,mid,mid,"[-60.939, -13.924]","[-8.534, 4.215]","[-5.698, 4.816]",-37.43142297670264,-2.1597675382810855,-0.44094982243312364,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; mixed local immediacy and reflective synthesis; balanced relation to systems and norms",2,medium
pc1_low__pc2_mid__pc3_high,low,mid,high,"[-60.939, -13.924]","[-8.534, 4.215]","[4.816, 36.364]",-37.43142297670264,-2.1597675382810855,20.58997040991268,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; mixed local immediacy and reflective synthesis; perturbative, stress-testing, adversarial, challenging, or interventionist stance",3,high
pc1_low__pc2_high__pc3_low,low,high,low,"[-60.939, -13.924]","[4.215, 78.114]","[-43.371, -5.698]",-37.43142297670264,41.164260676257534,-24.534363814869124,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; stabilizing, repairing, nurturing, preserving, or reconciling stance",3,high
pc1_low__pc2_high__pc3_mid,low,high,mid,"[-60.939, -13.924]","[4.215, 78.114]","[-5.698, 4.816]",-37.43142297670264,41.164260676257534,-0.44094982243312364,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; balanced relation to systems and norms",3,high
pc1_low__pc2_high__pc3_high,low,high,high,"[-60.939, -13.924]","[4.215, 78.114]","[4.816, 36.364]",-37.43142297670264,41.164260676257534,20.58997040991268,"wide possibility space, symbolic ambiguity, expressive identity, multiple admissible continuations; situated immediacy, local pressure, reactive or developmentally constrained response; perturbative, stress-testing, adversarial, challenging, or interventionist stance",3,high
pc1_mid__pc2_low__pc3_low,mid,low,low,"[-13.924, 19.979]","[-44.008, -8.534]","[-43.371, -5.698]",3.0275436582171755,-26.271102231993915,-24.534363814869124,"mixed convergence and open-ended degrees of freedom; integrated abstraction, reflective distance, broad synthesis, accumulated context; stabilizing, repairing, nurturing, preserving, or reconciling stance",3,high
