qwen_reference_cluster,match_class,n,employment_count_median,employment_count_mean,log_employment_count_median,annual_median_wage_median,pc1_median,pc2_median,pc3_median
combative_iconoclast,broad,1,,,,,3.2293105487442855,40.00255555396259,-2.2113692538282304
combative_iconoclast,close,1,190650.0,190650.0,12.15819456528571,,-2.5642360472048904,14.293777192202375,36.363630120785395
editorial,broad,1,1436680.0,1436680.0,14.177845454111214,69500.0,44.39804594682616,-2.5890623845943197,-0.5052263437564469
editorial,close,1,,,,,42.99515613399758,-2.396496643049292,3.8269725514391713
editorial,exact,8,885735.0,906580.0,13.434471439914073,83680.0,34.875182631026554,-0.26118989780539215,-2.442711328025162
grounded_social,broad,2,93180.0,93180.0,11.442288385370787,48280.0,-11.880848781629465,2.2751145397730896,-1.1758554724179158
grounded_social,close,5,2163525.0,2163525.0,12.619558653405667,41570.0,-0.3216902853846179,14.616833976346667,-9.123879102789829
grounded_social,exact,6,36180.0,36180.0,10.496261758949286,,-14.57214723203225,8.494491462502667,-5.7404308953402055
mythic_spiritual,close,1,,,,,-59.20142532525757,-14.699961268935272,-3.619136265560653
procedural_professional,broad,21,107730.0,414912.85714285716,11.587383375888239,93750.0,30.890109988819667,-2.052557699758866,-4.4097280957733895
procedural_professional,close,17,390160.0,410987.77777777775,12.874312190383934,75940.0,32.23865112417156,1.9915876437092344,1.1496200050579046
procedural_professional,exact,33,83900.0,215152.9411764706,11.337380892455297,76750.0,29.418353579492045,-8.79154175168452,1.9980950737288012
trickster_chaos,close,1,,,,,-24.02931828907636,56.60365202247773,31.28002781451015
