role,match_class,include_in_analysis,matched_occupation_title,soc_code,soc_major_group,match_confidence,rationale,source_dataset,data_vintage,employment_count,annual_median_wage,annual_mean_wage,hourly_median_wage,notes_on_ambiguity,log_employment_count,log_annual_median_wage
aberration,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
absurdist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
accountant,exact,True,Accountants and Auditors,13-2011,13-0000,high,Direct occupational title match; auditors share same SOC.,BLS OEWS national cross-industry estimates,May 2025,1449500.0,83680.0,94750.0,40.23,,14.186729227343847,11.33475527929875
activist,broad,True,"Community and Social Service Specialists, All Other",21-1099,21-0000,low,"Advocacy work exists occupationally, but activist is not a specific SOC title.",BLS OEWS national cross-industry estimates,May 2025,107730.0,56730.0,59590.0,27.28,,11.587383375888239,10.946058450320614
actor,exact,True,Actors,27-2011,27-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,29.05,,,
addict,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
adolescent,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
advocate,broad,True,"Community and Social Service Specialists, All Other",21-1099,21-0000,low,"Advocate is a work role, but SOC mapping is broad and context-dependent.",BLS OEWS national cross-industry estimates,May 2025,107730.0,56730.0,59590.0,27.28,,11.587383375888239,10.946058450320614
alien,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
altruist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
amateur,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
ambassador,ambiguous,False,Human Resources Managers,11-3121,11-0000,low,Ambassador is often diplomatic/brand/social role; no clean OEWS SOC. Kept ambiguous without analysis use.,,,,,,,Excluded from correlation analysis because mapping is ambiguous.,,
amnesiac,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
analyst,broad,True,Management Analysts,13-1111,13-0000,medium,"Generic analyst maps best to management analysts, but many analyst SOCs exist.",BLS OEWS national cross-industry estimates,May 2025,898280.0,101860.0,113790.0,48.97,,13.708237102692477,11.531354600438595
anarchist,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
ancient,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
angel,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
anthropologist,exact,True,Anthropologists and Archeologists,19-3091,19-0000,high,Direct occupational family title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
archaeologist,exact,True,Anthropologists and Archeologists,19-3091,19-0000,high,Direct occupational family title.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
architect,exact,True,"Architects, Except Landscape and Naval",17-1011,17-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
archivist,exact,True,Archivists,25-4011,25-0000,high,Direct occupational title match.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
artisan,broad,True,"Production Workers, All Other",51-9199,51-0000,low,Artisan is a broad craft role without clean SOC.,BLS OEWS national cross-industry estimates,May 2025,,,,,,,
ascetic,no_match,False,,,,,No defensible modern U.S. occupational mapping assigned.,,,,,,,,,
