role,matched_occupation_title,soc_code,match_class,employment_count,annual_median_wage,cluster,pc1,pc2,pc3,axis_projection,rationale
caregiver,Home Health and Personal Care Aides,31-1120,close,4305810.0,35800.0,grounded_social,1.34461182945744,14.616833977313346,-43.370517142750685,-0.026962663468393,"Caregiver maps reasonably to home health/personal care aides, but institutional settings vary."
secretary,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,exact,1706790.0,,editorial,40.75581360051938,-3.400106307860851,-1.0785932234990327,0.0430159065415004,Direct occupational title in SOC title.
accountant,Accountants and Auditors,13-2011,exact,1449500.0,83680.0,editorial,42.24790302485423,-4.026883124169549,7.345582691417099,0.033381450033636,Direct occupational title match; auditors share same SOC.
auditor,Accountants and Auditors,13-2011,exact,1449500.0,83680.0,procedural_professional,48.15501628203943,-12.294598875527148,13.609156371558782,0.0360211862686241,Direct occupational title in SOC title.
recruiter,Human Resources Specialists,13-1071,close,912430.0,75940.0,procedural_professional,32.7799875773955,7.866916749400894,-4.199998120428683,0.0143751713451163,Recruiter maps to HR specialists.
marketer,Market Research Analysts and Marketing Specialists,13-1161,close,899580.0,78760.0,procedural_professional,34.08101801136661,6.431733069423629,3.5887002364465137,0.0098565321987096,Marketer maps to marketing specialists/market research analysts.
consultant,Management Analysts,13-1111,close,898280.0,101860.0,procedural_professional,41.02661400378882,-2.6911010288176493,3.47137073915073,0.0410383845854668,Management analyst is the standard SOC proxy for business consultants.
lawyer,Lawyers,23-1011,exact,754500.0,159670.0,procedural_professional,42.99347838737817,-11.861488119511774,14.46599601782677,0.036920970355189,Direct occupational title match.
trainer,Training and Development Specialists,13-1151,close,458300.0,69280.0,procedural_professional,33.86329658482686,5.128512002659794,-1.951117373046939,0.0255069659691822,Trainer maps to training/development specialists.
scheduler,"Production, Planning, and Expediting Clerks",43-5061,close,390160.0,59650.0,procedural_professional,37.321814471208434,2.676388806658074,1.1496197091280724,0.0267695333859918,"Scheduling maps to planning/expediting clerks, but role is generic."
pharmacist,Pharmacists,29-1051,exact,321970.0,140910.0,editorial,37.87591858429286,-4.241318528915338,-3.8068310374923615,0.036170341226547,Direct occupational title match.
coach,Coaches and Scouts,27-2022,exact,248950.0,47320.0,procedural_professional,24.85386036582791,11.699203936117796,-14.83995665163626,0.0119594544773137,Direct occupational title in SOC title.
scout,Coaches and Scouts,27-2022,exact,248950.0,47320.0,procedural_professional,10.486657787173453,-3.8759314796454287,7.87455552745396,-0.0690994665783507,Direct occupational title in SOC title.
dispatcher,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,exact,202810.0,50340.0,procedural_professional,37.51651838369674,-3.009267955799515,5.132192364097119,0.0215486788940697,Direct occupational title match for non-emergency dispatchers.
hacker,Information Security Analysts,15-1212,close,190650.0,,combative_iconoclast,-2.564236047209667,14.293777194706433,36.36362997770404,-0.1114451068984428,Legal security work maps to information security analysts; hacker role remains culturally broader.
paramedic,Emergency Medical Technicians and Paramedics,29-2042,exact,180510.0,44470.0,procedural_professional,26.068793283549137,7.004017775138242,-5.833329032460444,0.0033236317314867,Direct occupational title in SOC title.
interviewer,"Interviewers, Except Eligibility and Loan",43-4111,exact,148060.0,45920.0,editorial,26.221934652360865,7.460181134353589,-8.457649235594397,0.0047910283578579,Direct occupational title match.
producer,Producers and Directors,27-2012,exact,143120.0,90360.0,procedural_professional,30.515274152981675,4.303532473840473,0.6252980876309937,-0.0041122649144917,Direct occupational title in SOC title.
detective,Detectives and Criminal Investigators,33-3021,exact,114430.0,,procedural_professional,21.4095678183859,-2.2616695455957254,11.640713550229227,-0.0307500283407751,Direct occupational title match.
veterinarian,Veterinarians,29-1131,exact,83900.0,130100.0,procedural_professional,26.870204603105016,0.836878051988438,-11.75371031629888,0.0095852568713534,Direct occupational title match.
chemist,Chemists,19-2031,exact,82770.0,,procedural_professional,29.418353579489857,-11.171391097730805,8.463366678958632,-0.0114180115390586,Direct occupational title match.
biologist,"Biological Scientists, All Other",19-1029,close,55850.0,98920.0,procedural_professional,32.238651124195414,-16.158082910987353,4.347481344692837,-0.003025204425468,Generic biologist maps to biological scientists all other; specializations vary.
journalist,"News Analysts, Reporters, and Journalists",27-3023,exact,39250.0,,procedural_professional,30.59129112466712,-2.691625012328414,3.0877367083349028,0.0054787079135585,Direct occupational title in SOC title.
reporter,"News Analysts, Reporters, and Journalists",27-3023,exact,39250.0,,procedural_professional,27.71536206361814,1.3618124962236973,1.0291702348691658,0.0030081410092854,Direct occupational title in SOC title.
linguist,"Social Scientists and Related Workers, All Other",19-3099,close,37100.0,101110.0,procedural_professional,33.92798919982969,-16.159447584585486,7.526475627485951,-0.0068130726611703,Linguists are not a standalone OEWS detailed SOC; social scientists all other is closest.
musician,Musicians and Singers,27-2042,exact,36180.0,,grounded_social,-13.635182938304252,2.8882305860225723,-16.046590352419926,-0.1253011849949113,Direct occupational title match.
naturalist,Conservation Scientists,19-1031,close,25950.0,73010.0,procedural_professional,8.6151087885569,-15.779512991471291,-9.756773907668144,-0.0689720803438716,Naturalist maps roughly to conservation science/ecology work.
judge,"Judges, Magistrate Judges, and Magistrates",23-1023,exact,24030.0,,procedural_professional,34.46582193915314,-15.583627695831888,4.792656005308732,0.0148646200287974,Direct occupational title match.
podcaster,Broadcast Announcers and Radio Disc Jockeys,27-3011,close,21240.0,47340.0,grounded_social,0.8446430116516666,21.108976093085904,-9.1238789168668,-0.0754333644203291,Podcasting maps roughly to broadcast/on-air media work.
presenter,Broadcast Announcers and Radio Disc Jockeys,27-3011,close,21240.0,47340.0,procedural_professional,19.60170988128903,13.05771371577557,-9.659203558234054,-0.0016625556817,Presenter maps roughly to broadcast announcers.
physicist,Physicists,19-2012,exact,20430.0,172250.0,procedural_professional,29.16021057234676,-17.277889264537084,11.471328014888297,-0.0248736938215054,Direct occupational title match.
composer,Music Directors and Composers,27-2041,exact,12540.0,73710.0,procedural_professional,1.7742423362660258,-17.582766266362462,-4.9009281394375135,-0.1051248134627308,Direct occupational title in SOC title.
