trait,beta_trait_pc1_controlled,beta_pc1,intercept,r2_pc2_model,corr_trait_with_pc2_residual,pc2_residualization_intercept,pc2_residualization_beta_pc1
narrative,3.5170809970072265,3.448136412844977,2.909501287061963e-17,0.4802140179219261,0.13653766243386262,2.909501287061962e-17,-9.355601126890081e-17
enigmatic,-3.4925152863859923,-3.3833428000717882,2.909501287061962e-17,0.750654522842215,-0.21493235141111802,2.909501287061962e-17,-9.355601126890081e-17
transparent,3.4534034819506054,-3.4078857323201515,2.909501287061962e-17,0.3123104445973194,0.09043555038663342,2.909501287061962e-17,-9.355601126890081e-17
poetic,-3.314452448076837,-3.2337477583060568,2.909501287061962e-17,0.5284704662131011,-0.15944427457987467,2.909501287061962e-17,-9.355601126890081e-17
ethereal,-3.297252193285766,-3.1696417479305734,2.909501287061962e-17,0.8252432159034124,-0.25028210386329103,2.909501287061962e-17,-9.355601126890081e-17
factual,-2.607755578256307,2.4661503842291324,2.909501287061962e-17,0.7184914382933881,-0.27552100522159056,2.909501287061962e-17,-9.355601126890081e-17
flirty,2.4404395343077097,2.2853594701867963,2.909501287061962e-17,0.7328772126395607,0.3003054172565101,2.909501287061962e-17,-9.355601126890081e-17
romantic,-2.3350378637465963,-2.2797219255910894,2.909501287061962e-17,0.2552697671095263,-0.10932146800392475,2.909501287061962e-17,-9.355601126890081e-17
cryptic,-2.1978204600092868,-2.0020063598168933,2.909501287061963e-17,0.8223853096881473,-0.3741822067143159,2.909501287061962e-17,-9.355601126890081e-17
methodical,-2.183736319115648,1.9709687776528273,2.909501287061962e-17,0.8839863889424785,-0.4048045458622347,2.909501287061962e-17,-9.355601126890081e-17
spontaneous,2.147529720029839,2.001225096673929,2.909501287061962e-17,0.6069820108538632,0.282641960757325,2.909501287061962e-17,-9.355601126890081e-17
nostalgic,-2.0001031760885253,-1.8806514895957294,2.909501287061962e-17,0.4635626896807715,-0.23176938831092272,2.909501287061962e-17,-9.355601126890081e-17
improvisational,1.9909844919920179,1.8195740335299853,2.909501287061962e-17,0.6531695838561353,0.3280636220338543,2.909501287061962e-17,-9.355601126890081e-17
fatalistic,-1.946631374073894,-1.7035256403502677,2.909501287061962e-17,0.8873740991980268,-0.4558511236469685,2.909501287061962e-17,-9.355601126890081e-17
paradoxical,-1.8447818947648735,-1.752190645966977,2.9095012870619616e-17,0.3330481794381064,-0.18053526022953242,2.909501287061962e-17,-9.355601126890081e-17
