role_or_run,role,filter_condition,n,centroid_pc1,centroid_pc2,centroid_pc3,mean_distance_to_centroid,median_distance_to_centroid,rms_radius,cov2_lambda1,cov2_lambda2,anisotropy_ratio_2d_l1_l2,first_pc_explained_variance_2d,dominant_orientation_angle_pc1_pc2,orientation_angle_median,orientation_abs_deviation_median,orientation_abs_deviation_p95,orientation_stability_width_p90,ellipse_area_95_pc1_pc2,convex_hull_area_pc1_pc2,cov3_lambda1,cov3_lambda2,cov3_lambda3,anisotropy_ratio_3d_l1_mean_rest,first_pc_explained_variance_3d,ellipsoid_volume_95_pc123,orientation_interpretation,orientation_reason,source_point_rows
amateur,amateur,all,60,-1.6212863420477952,38.46016335218537,-16.303681091036857,23.664419972885455,22.3005229222179,25.497745618327617,336.3004512129818,183.56137472470684,1.8320872335879097,0.6469035317343944,145.1175738967376,143.5,7.191158984556168,28.40084200626923,56.80168401253846,4676.675561397032,3324.5095711888625,368.1012560041699,185.30390795181916,107.7491054849721,2.5121820225442986,0.5567554699683295,248080.24184763,Observed-meaningful-orientation,anisotropy and bootstrap stability support a preferred direction,60
amateur,amateur,gpt41_eq3,34,-8.86100626741064,42.11256280079209,-17.278390972442267,21.40488282585689,19.949890639039353,23.43359288949849,240.8010149257007,198.73161716281683,1.2116895054923107,0.5478569674826914,28.499518924089926,25.75,30.151708735376218,81.00380883453758,162.00761766907516,4117.612810077801,2661.8645105205496,260.4029826519765,223.98657752930978,81.3841178237331,1.7054877014372407,0.4602599816417516,199371.55917374836,Observed-no-preferred-direction,near-isotropic 2D covariance,34
amateur,amateur,gpt41_ge2,59,-2.017328026579163,38.913573383048515,-16.150239469741198,23.38967574911286,22.57697637295446,25.258579319783298,321.4669832948775,185.2372700074756,1.7354336051373684,0.6344272446891351,147.30087539425546,147.25,8.974284509238501,32.235101648158675,64.47020329631735,4593.198769570072,3324.5095711888625,359.91158037712313,188.135039373668,100.94913759357576,2.4900123151182005,0.5545669232875257,239245.32612976458,Observed-meaningful-orientation,anisotropy and bootstrap stability support a preferred direction,59
amateur,amateur,gpt55_eq3,11,-11.667624663820202,41.084475332266486,-20.064481809901153,19.682779482816944,19.506074818612134,21.800917973037716,355.1779244256469,111.980778461708,3.171775811034396,0.7602939263047194,34.28060215357769,36.0,9.3301920209056,61.775376477828615,123.55075295565723,3753.8558387107664,1196.138039746468,357.9558001148156,117.28003381056583,47.572192988449615,4.3427475268651134,0.6846792353741226,129319.11690650783,Inferred-unstable-orientation,bootstrap orientation spread is wide,11
amateur,amateur,gpt55_ge2,44,-6.069091337567085,40.89983436011469,-17.312947566187855,21.50157110898219,20.425045420197357,23.32536430061012,233.56489190522495,204.520911948932,1.142009830092803,0.5331487344497038,169.01785605757243,165.0,29.81559042563717,81.50914922884142,163.01829845768285,4113.916837264648,2706.1869169769225,264.9313131458474,211.0522755676799,80.74188266488629,1.8158781159332977,0.4758742446073033,194433.23517520117,Observed-no-preferred-direction,near-isotropic 2D covariance,44
editor_matched64_1024,editor,all,64,24.95472136108338,8.081047146042827,-5.964654063422392,26.659221204688524,23.86015467649864,28.84888756852596,424.1217676974191,213.5607997307861,1.985953265918021,0.6650985762523134,138.44679687066954,139.25,7.0723272821375645,22.819646479211915,45.63929295842383,5664.856555449511,3898.0246900102147,528.1094979156932,219.8997734726192,97.45949198078127,3.3281492327706332,0.6246351382767105,307854.74567546236,Observed-meaningful-orientation,anisotropy and bootstrap stability support a preferred direction,64
editor_matched64_1024,editor,gpt41_eq3,2,29.53527012772298,-16.005678433665484,1.2008535667142453,12.58929427658682,12.58929427658682,12.58929427658682,258.5618480320188,-1.8763443495786797e-15,inf,1.0,50.09453057812017,,,,,0.0,,316.98066076500334,2.7182225668893486e-14,-8.247536093880192e-15,3.3481474254882868e+16,1.0,0.0,Unknown,n<10; covariance/orientation too small,2
editor_matched64_1024,editor,gpt41_ge2,36,26.901298419381796,0.912646296282976,-5.268466495685276,23.820151058122676,22.70106282001972,26.494292367675936,368.5972526658361,178.85299779045937,2.0608950211596526,0.673298171584748,151.75209447732328,155.0,9.237197612335905,38.18325743045882,76.36651486091765,4832.891279697969,3360.5660772188035,466.294531409167,181.4333506888295,74.27528962486313,3.6470768515067498,0.6458344639906288,229387.79126391895,Inferred-unstable-orientation,bootstrap orientation spread is wide,36
editor_phase1_128,editor,all,128,25.50203864754422,8.010257027020103,-4.857667962880239,28.601885354926658,27.231367299848603,31.384828667937242,526.1859064678538,235.3325724372671,2.235924678926968,0.6909693212230144,148.97558377859133,148.25,4.258148173715426,14.26908558992246,28.53817117984492,6623.59078726258,5822.528469055083,636.5911007660425,237.63674835340393,118.53558573109876,3.5746240785507486,0.6412314136669202,387499.2428056763,Observed-meaningful-orientation,anisotropy and bootstrap stability support a preferred direction,128
editor_phase1_128,editor,gpt41_eq3,3,21.89402561884856,21.18347399096123,-2.4843900167023563,22.67472469279514,26.216523152768175,24.992887048425334,842.691179357117,7.454550325267437,113.04386483256921,0.99123144413364,119.28301413421782,117.0,3.5735954869118274,27.0,54.0,1491.85912863805,137.27946465342092,923.6327886739023,13.333815849118084,-9.740564897242349e-14,138.53990472427282,0.9857691663878396,0.0,Unknown,n<10; covariance/orientation too small,3
