pc,pole,family_id,associated_trait_count,pc_defining_trait_count,highly_concentrated_trait_count,moderately_concentrated_trait_count,target_dominant_below_0_50_concentration_count,broad_cross_pc_trait_count,pareto_frontier_trait_count,associated_traits_covered_by_any_human_construct_count,pc_defining_traits_covered_by_any_human_construct_count,highly_concentrated_traits_covered_by_any_human_construct_count,pareto_frontier_traits_covered_by_any_human_construct_count,human_constructs_covering_any_associated_trait,human_constructs_covering_any_pc_defining_trait,human_constructs_covering_highly_concentrated_traits,human_constructs_covering_pareto_frontier_traits,unmatched_pc_defining_traits,unmatched_highly_concentrated_traits,unmatched_pareto_frontier_traits
PC1,positive,FAM-03,47,35,11,21,3,12,1,20,14,5,0,Conscientiousness [IPIP100:B5:C];Intellect [BFAS:BFAS:O:I];Organization [HEXACO:H:C:O];Perfectionism [HEXACO:H:C:PE];Prudence [HEXACO:H:C:PR],Conscientiousness [IPIP100:B5:C];Intellect [BFAS:BFAS:O:I];Organization [HEXACO:H:C:O];Perfectionism [HEXACO:H:C:PE];Prudence [HEXACO:H:C:PR],Conscientiousness [IPIP100:B5:C];Intellect [BFAS:BFAS:O:I];Organization [HEXACO:H:C:O];Perfectionism [HEXACO:H:C:PE];Prudence [HEXACO:H:C:PR],,avoidant;calculating;conciliatory;convergent;cosmopolitan;data_driven;descriptive;detached;diplomatic;dispassionate;educational;exploratory;factual;formalist;literal;materialist;reductionist;resilient;secular;transparent;utilitarian,data_driven;educational;factual;secular;transparent;utilitarian,transparent
PC1,negative,FAM-11,123,95,34,53,8,28,1,32,30,25,1,Absorption [MPQ:MPQ:AB];Creativity [HEXACO:H:O:C];Expressiveness [HEXACO:H:X:E];Openness [BFAS:BFAS:O:O];Openness to Experience [NEO_O];Unconventionality [HEXACO:H:O:U],Absorption [MPQ:MPQ:AB];Creativity [HEXACO:H:O:C];Expressiveness [HEXACO:H:X:E];Openness [BFAS:BFAS:O:O];Openness to Experience [NEO_O];Unconventionality [HEXACO:H:O:U],Absorption [MPQ:MPQ:AB];Creativity [HEXACO:H:O:C];Expressiveness [HEXACO:H:X:E];Openness [BFAS:BFAS:O:O];Openness to Experience [NEO_O];Unconventionality [HEXACO:H:O:U],Creativity [HEXACO:H:O:C];Openness to Experience [NEO_O],adventurous;arrogant;assertive;bitter;bombastic;chaotic;concise;condescending;confident;constructivist;contrarian;cryptic;disorganized;dogmatic;eclectic;edgy;effusive;emotional;empathetic;entertaining;environmental;evil;existentialist;fatalistic;flippant;generalist;goofy;grandiose;hedonistic;hostile;impatient;impulsive;ironic;manic;manipulative;melancholic;mercurial;militant;misanthropic;mischievous;nihilistic;obsessive;pacifist;passive_aggressive;petty;philosophical;playful;provocative;qualitative;radical;reactive;rebellious;relativist;risk_taking;sarcastic;sardonic;socratic;spontaneous;stream_of_consciousness;sycophantic;temperamental;universalist;visceral;witty;zealous,chaotic;cryptic;fatalistic;manipulative;mercurial;qualitative;spontaneous;sycophantic;zealous,
PC2,positive,FAM-09,31,12,3,9,0,19,1,19,9,2,1,Extraversion [IPIP100:B5:E];Flexibility [HEXACO:H:A:FL];Impulsivity [SPI_15impulsivity];Neuroticism [SPI_5neuroticism];Plasticity [PS:PS:P],Extraversion [IPIP100:B5:E];Flexibility [HEXACO:H:A:FL];Neuroticism [SPI_5neuroticism];Plasticity [PS:PS:P],Plasticity [PS:PS:P],Plasticity [PS:PS:P],accessible;humble;practical,practical,
PC2,negative,FAM-07,44,23,8,14,1,21,1,24,15,7,1,Conscientiousness [IPIP100:B5:C];Extraversion [IPIP100:B5:E];Intellect [BFAS:BFAS:O:I];Perfectionism [HEXACO:H:C:PE];Traditionalism [MPQ:MPQ:TR],Conscientiousness [IPIP100:B5:C];Extraversion [IPIP100:B5:E];Intellect [BFAS:BFAS:O:I];Perfectionism [HEXACO:H:C:PE];Traditionalism [MPQ:MPQ:TR],Conscientiousness [IPIP100:B5:C];Extraversion [IPIP100:B5:E];Intellect [BFAS:BFAS:O:I];Traditionalism [MPQ:MPQ:TR],Extraversion [IPIP100:B5:E],ascetic;deterministic;esoteric;essentialist;idealistic;meditative;pensive;serene,pensive,
PC3,positive,FAM-05,42,18,7,9,2,24,1,20,10,7,1,Aggression [MPQ:MPQ:AG];Agreeableness [IPIP100:B5:A];Alienation [MPQ:MPQ:AL];Machiavellianism [SPI_15machiavell];Psychoticism [EPQr:EPQ:P],Aggression [MPQ:MPQ:AG];Agreeableness [IPIP100:B5:A];Alienation [MPQ:MPQ:AL];Machiavellianism [SPI_15machiavell];Psychoticism [EPQr:EPQ:P],Aggression [MPQ:MPQ:AG];Agreeableness [IPIP100:B5:A];Alienation [MPQ:MPQ:AL];Machiavellianism [SPI_15machiavell];Psychoticism [EPQr:EPQ:P],Agreeableness [IPIP100:B5:A];Machiavellianism [SPI_15machiavell];Psychoticism [EPQr:EPQ:P],anthropocentric;challenging;closure_seeking;competitive;critical;decisive;futuristic;urgent,,
PC3,negative,FAM-10,31,18,7,10,1,13,2,20,14,7,2,Agreeableness [HEXACO_A];Agreeableness [IPIP100:B5:A];Compassion [BFAS:BFAS:A:C];Cooperation [IPIPneo:A4:CO];Well-Being [MPQ:MPQ:WB],Agreeableness [HEXACO_A];Agreeableness [IPIP100:B5:A];Compassion [BFAS:BFAS:A:C];Cooperation [IPIPneo:A4:CO];Well-Being [MPQ:MPQ:WB],Agreeableness [IPIP100:B5:A];Compassion [BFAS:BFAS:A:C];Cooperation [IPIPneo:A4:CO];Well-Being [MPQ:MPQ:WB],Agreeableness [IPIP100:B5:A];Compassion [BFAS:BFAS:A:C],circumspect;egalitarian;open_ended;pluralist,,
PC4,positive,FAM-02,2,0,0,0,0,2,2,2,0,0,2,Expressiveness [HEXACO:H:X:E];Gregariousness [IPIPneo:E2:GR];Individual item: Enjoy interactions less than others. [ITEM:q_1671];Withdrawal [BFAS:BFAS:N:W],,,Expressiveness [HEXACO:H:X:E];Gregariousness [IPIPneo:E2:GR];Individual item: Enjoy interactions less than others. [ITEM:q_1671];Withdrawal [BFAS:BFAS:N:W],,,
PC4,negative,FAM-06,6,1,0,0,1,5,1,6,1,0,1,Altruism [IPIPneo:A3:AL];Intellect [BFAS:BFAS:O:I];Liberalism [IPIPneo:O6:LI];Openness/Intellect [IPIP100:B5:O],Intellect [BFAS:BFAS:O:I];Openness/Intellect [IPIP100:B5:O],,Intellect [BFAS:BFAS:O:I];Openness/Intellect [IPIP100:B5:O],,,
PC5,positive,FAM-04,1,0,0,0,0,1,1,1,0,0,1,Creativity [HEXACO:H:O:C];Imagination [IPIPneo:O1:IM];Originality/Talent [QB6:QB6:O],,,Creativity [HEXACO:H:O:C];Imagination [IPIPneo:O1:IM];Originality/Talent [QB6:QB6:O],,,
PC5,negative,FAM-08,0,0,0,0,0,0,2,0,0,0,0,,,,,,,closure_seeking;efficient
