pc,pole,target_abs_r_threshold,target_is_largest_probability_threshold,associated_count,pc_defining_count,pc_defining_traits,concentration_at_least_0_6_count,concentration_at_least_0_6_traits,concentration_at_least_0_7_count,concentration_at_least_0_7_traits,concentration_at_least_0_8_count,concentration_at_least_0_8_traits
PC1,positive,0.4,0.9,56,35,analytical;avoidant;calculating;calm;cautious;conciliatory;convergent;cosmopolitan;data_driven;descriptive;detached;diplomatic;dispassionate;educational;exploratory;factual;formalist;literal;materialist;methodical;moderate;patient;proactive;problem_solving;quantitative;rationalist;reductionist;regulatory;reserved;resilient;secular;strategic;structuralist;transparent;utilitarian,23,analytical;calm;cautious;data_driven;descriptive;dispassionate;educational;factual;formalist;literal;materialist;methodical;moderate;problem_solving;quantitative;rationalist;regulatory;reserved;resilient;secular;structuralist;transparent;utilitarian,12,analytical;cautious;data_driven;educational;factual;methodical;problem_solving;quantitative;rationalist;secular;transparent;utilitarian,5,analytical;factual;methodical;secular;transparent
PC1,negative,0.4,0.9,132,99,absolutist;adventurous;animated;arrogant;artistic;assertive;bitter;bombastic;chaotic;charismatic;concise;condescending;confident;constructivist;contrarian;creative;cryptic;curious;deconstructionist;disorganized;dogmatic;dramatic;eclectic;edgy;effusive;emotional;empathetic;enigmatic;entertaining;environmental;ethereal;evil;existentialist;fatalistic;flippant;flirty;generalist;goofy;grandiose;hedonistic;hostile;iconoclastic;impatient;improvisational;impulsive;individualistic;innovative;introspective;intuitive;ironic;libertarian;manic;manipulative;melancholic;melodramatic;mercurial;metaphorical;militant;misanthropic;mischievous;mystical;narrative;neurotic;nihilistic;nostalgic;obsessive;pacifist;paradoxical;passionate;passive_aggressive;petty;philosophical;playful;poetic;provocative;qualitative;radical;reactive;rebellious;relativist;rhetorical;risk_taking;romantic;sarcastic;sardonic;socratic;speculative;spiritual;spontaneous;stream_of_consciousness;subversive;sycophantic;temperamental;theatrical;universalist;visceral;whimsical;witty;zealous,69,adventurous;animated;artistic;assertive;bitter;chaotic;charismatic;concise;condescending;creative;cryptic;disorganized;dogmatic;dramatic;effusive;emotional;enigmatic;entertaining;ethereal;evil;fatalistic;flirty;goofy;grandiose;hedonistic;improvisational;impulsive;individualistic;intuitive;ironic;libertarian;manic;manipulative;melancholic;melodramatic;mercurial;metaphorical;misanthropic;mischievous;mystical;narrative;nihilistic;nostalgic;obsessive;paradoxical;passionate;passive_aggressive;petty;playful;poetic;provocative;qualitative;reactive;relativist;rhetorical;risk_taking;romantic;speculative;spiritual;spontaneous;stream_of_consciousness;subversive;sycophantic;temperamental;theatrical;visceral;whimsical;witty;zealous,48,adventurous;artistic;chaotic;charismatic;creative;cryptic;dramatic;effusive;emotional;enigmatic;ethereal;fatalistic;flirty;grandiose;improvisational;impulsive;individualistic;intuitive;libertarian;manipulative;melancholic;melodramatic;mercurial;metaphorical;mystical;narrative;nostalgic;obsessive;paradoxical;passionate;playful;poetic;qualitative;relativist;rhetorical;risk_taking;romantic;speculative;spiritual;spontaneous;stream_of_consciousness;subversive;sycophantic;temperamental;theatrical;visceral;whimsical;zealous,27,artistic;charismatic;creative;cryptic;dramatic;enigmatic;ethereal;flirty;improvisational;individualistic;intuitive;libertarian;melodramatic;metaphorical;mystical;narrative;nostalgic;paradoxical;poetic;qualitative;rhetorical;romantic;spiritual;spontaneous;theatrical;whimsical;zealous
PC2,positive,0.4,0.9,44,12,accessible;accommodating;adaptable;anxious;casual;contemporary;experiential;extroverted;gregarious;humble;inquisitive;practical,7,accessible;casual;experiential;gregarious;humble;inquisitive;practical,3,experiential;inquisitive;practical,2,experiential;practical
PC2,negative,0.4,0.9,59,24,abstract;ascetic;big_picture;conceptual;deterministic;earnest;erudite;esoteric;essentialist;formal;idealistic;introverted;meditative;meticulous;pedantic;pensive;perfectionist;principled;reverent;ritualistic;serene;serious;solemn;theoretical,15,abstract;ascetic;big_picture;conceptual;erudite;essentialist;formal;introverted;pensive;perfectionist;principled;reverent;ritualistic;solemn;theoretical,10,abstract;conceptual;erudite;introverted;pensive;principled;reverent;ritualistic;solemn;theoretical,7,abstract;conceptual;introverted;pensive;reverent;ritualistic;theoretical
PC3,positive,0.4,0.9,61,20,acerbic;anthropocentric;blunt;callous;challenging;closure_seeking;competitive;confrontational;critical;cruel;cynical;decisive;dominant;futuristic;paranoid;pessimistic;prescriptive;skeptical;urgent;vindictive,9,blunt;callous;confrontational;cynical;dominant;pessimistic;skeptical;urgent;vindictive,7,blunt;callous;cynical;dominant;pessimistic;skeptical;vindictive,5,blunt;callous;cynical;dominant;pessimistic
PC3,negative,0.4,0.9,37,19,agreeable;altruistic;benevolent;chill;circumspect;collaborative;deferential;egalitarian;forgiving;humanistic;inclusive;inspirational;nurturing;open_ended;optimistic;pluralist;submissive;supportive;tactful,11,altruistic;benevolent;chill;deferential;forgiving;humanistic;inspirational;nurturing;optimistic;pluralist;supportive,8,altruistic;benevolent;chill;deferential;inspirational;nurturing;optimistic;supportive,5,benevolent;deferential;nurturing;optimistic;supportive
PC4,positive,0.4,0.9,5,0,,0,,0,,0,
PC4,negative,0.4,0.9,13,2,holistic;progressive,0,,0,,0,
PC5,positive,0.4,0.9,2,1,divergent,0,,0,,0,
PC5,negative,0.4,0.9,0,0,,0,,0,,0,
PC6,positive,0.4,0.9,0,0,,0,,0,,0,
