pc,pole,trait,target_pearson_r,target_abs_r,specificity_margin,pc1_6_concentration_fraction,target_is_largest_probability,is_pc_associated,is_primary_pc_defining,is_pareto_frontier,dominated_by_count,dominated_by_traits
PC1,positive,adaptable,0.0005705464956650424,0.0005705464956650424,-0.7202633277597316,3.490754796129402e-07,0.0,False,False,False,70,agreeable;analytical;anthropocentric;avoidant;calculating;calm;cautious;chill;circumspect;closure_seeking;collaborative;collectivistic;conciliatory;conscientious;contemporary;convergent;cosmopolitan;data_driven;decisive;descriptive;detached;diplomatic;dispassionate;earnest;educational;erudite;exploratory;factual;flexible;formal;formalist;generous;grounded;inspirational;literal;materialist;methodical;meticulous;moderate;patient;pedantic;perfectionist;pluralist;prescriptive;proactive;problem_solving;quantitative;rationalist;reductionist;regulatory;reserved;resilient;ritualistic;secular;serene;serious;skeptical;solemn;specialized;stoic;strategic;structuralist;supportive;tactful;technical;traditional;transparent;understated;utilitarian;verbose
PC1,positive,agreeable,0.5604480909886254,0.5604480909886254,-0.1989399665663203,0.3178274486747794,0.0,True,False,False,43,analytical;avoidant;calculating;calm;cautious;conciliatory;conscientious;contemporary;convergent;cosmopolitan;data_driven;descriptive;detached;diplomatic;dispassionate;educational;exploratory;factual;formalist;grounded;literal;materialist;methodical;meticulous;moderate;patient;prescriptive;proactive;problem_solving;quantitative;rationalist;reductionist;regulatory;reserved;resilient;secular;serious;stoic;strategic;structuralist;technical;transparent;utilitarian
PC1,positive,analytical,0.9380054580902019,0.9380054580902019,0.6559019525097385,0.8863484630402542,1.0,True,True,False,2,factual;transparent
PC1,positive,anthropocentric,0.49052510623283235,0.49052510623283235,-0.16077231829938016,0.2894974132111,0.0025,False,False,False,45,analytical;avoidant;calculating;calm;cautious;conciliatory;conscientious;contemporary;convergent;cosmopolitan;data_driven;descriptive;detached;diplomatic;dispassionate;educational;exploratory;factual;formalist;grounded;literal;materialist;methodical;meticulous;moderate;patient;prescriptive;proactive;problem_solving;quantitative;rationalist;reductionist;regulatory;reserved;resilient;secular;serious;stoic;strategic;structuralist;technical;traditional;transparent;understated;utilitarian
PC1,positive,avoidant,0.6957952252022703,0.6957952252022703,0.14428437640171632,0.5481279910885254,0.971,True,True,False,26,analytical;calm;cautious;convergent;data_driven;descriptive;detached;diplomatic;dispassionate;educational;factual;formalist;literal;materialist;methodical;moderate;problem_solving;quantitative;rationalist;regulatory;reserved;resilient;secular;structuralist;transparent;utilitarian
PC1,positive,benevolent,0.004239927026711565,0.004239927026711565,-0.944133172068884,1.850970345970229e-05,0.0,False,False,False,74,agreeable;analytical;anthropocentric;avoidant;calculating;calm;cautious;chill;circumspect;closure_seeking;collaborative;collectivistic;conciliatory;conscientious;contemporary;convergent;cosmopolitan;data_driven;decisive;descriptive;detached;diplomatic;dispassionate;earnest;educational;erudite;exploratory;factual;flexible;formal;formalist;generous;grounded;inspirational;introverted;literal;materialist;methodical;meticulous;moderate;patient;pedantic;pensive;perfectionist;pluralist;practical;prescriptive;proactive;problem_solving;quantitative;rationalist;reductionist;regulatory;reserved;resilient;ritualistic;secular;serene;serious;skeptical;solemn;specialized;stoic;strategic;structuralist;supportive;tactful;technical;traditional;transparent;understated;utilitarian;verbose;vindictive
PC1,positive,calculating,0.743624425258556,0.743624425258556,0.12692177311610853,0.5757924111105116,0.989,True,True,False,25,analytical;calm;cautious;data_driven;descriptive;detached;diplomatic;dispassionate;educational;factual;formalist;literal;materialist;methodical;moderate;problem_solving;quantitative;rationalist;regulatory;reserved;resilient;secular;structuralist;transparent;utilitarian
PC1,positive,calm,0.8300749764119048,0.8300749764119048,0.4110907415755355,0.6946937243172683,1.0,True,True,False,10,analytical;cautious;data_driven;educational;factual;methodical;rationalist;secular;transparent;utilitarian
PC1,positive,cautious,0.8405838386683214,0.8405838386683214,0.5554680206198608,0.7798344146785035,1.0,True,True,False,4,analytical;factual;secular;transparent
PC1,positive,chill,0.39478820006093374,0.39478820006093374,-0.4379469730622455,0.16202481818584477,0.0,False,False,False,56,agreeable;analytical;anthropocentric;avoidant;calculating;calm;cautious;collaborative;conciliatory;conscientious;contemporary;convergent;cosmopolitan;data_driven;descriptive;detached;diplomatic;dispassionate;educational;exploratory;factual;flexible;formal;formalist;grounded;literal;materialist;methodical;meticulous;moderate;patient;pedantic;perfectionist;prescriptive;proactive;problem_solving;quantitative;rationalist;reductionist;regulatory;reserved;resilient;secular;serious;solemn;specialized;stoic;strategic;structuralist;tactful;technical;traditional;transparent;understated;utilitarian;verbose
