pc,axis_status,pole,original_association_family_size,axis_specific_marker_count,retention_percentage,retained_traits,removed_non_target_dominant,removed_diffuse,removed_bootstrap_cross_loading,strongest_axis_specific_marker,strongest_axis_specific_marker_abs_r,purest_strong_marker,purest_strong_marker_axis_purity,highest_purity_marker_regardless_of_strength,highest_purity_regardless_of_strength,original_family_median_target_abs_r,original_family_median_axis_purity,original_family_median_dominance_gap,primary_marker_median_target_abs_r,primary_marker_median_axis_purity,primary_marker_median_dominance_gap,sensitivity_count_purity60_probability95,sensitivity_count_purity70_probability90,sensitivity_count_primary_purity70_probability95,sensitivity_count_purity70_probability99,sensitivity_count_purity80_probability95,exploratory_top10_target_dominant_abs_r_ge_0_30
PC1,strict_core,positive,47,12,25.53191489361702,transparent;factual;analytical;methodical;secular;data_driven;rationalist;educational;quantitative;utilitarian;cautious;problem_solving,conscientious;stoic;meticulous;contemporary;serious;prescriptive;perfectionist;agreeable;formal,calm;reserved;moderate;dispassionate;literal;regulatory;descriptive;resilient;structuralist;materialist;formalist;detached;diplomatic;conciliatory;calculating;strategic;convergent;patient;avoidant;grounded;proactive;reductionist;exploratory;cosmopolitan;technical;traditional,,transparent,0.986819452210436,transparent,0.9812191141243977,transparent,0.9812191141243977,0.7688260170027932,0.5951287592412489,0.27491532257571877,0.8749442780280743,0.7864405150917255,0.5271010663819914,23,12,12,12,5,
PC1,strict_core,negative,123,48,39.02439024390244,narrative;romantic;poetic;metaphorical;dramatic;enigmatic;ethereal;zealous;rhetorical;melodramatic;paradoxical;artistic;nostalgic;mystical;flirty;whimsical;theatrical;spontaneous;improvisational;libertarian;cryptic;qualitative;charismatic;intuitive;spiritual;creative;individualistic;mercurial;manipulative;passionate;fatalistic;sycophantic;speculative;subversive;chaotic;visceral;risk_taking;melancholic;obsessive;effusive;adventurous;temperamental;emotional;grandiose;playful;stream_of_consciousness;impulsive;relativist,eloquent;nonchalant;cruel;acerbic;competitive;wry;deontological;extroverted;idealistic;paranoid;anxious;naive;casual;fundamentalist;efficient;open_ended;ascetic;humanistic,mischievous;condescending;manic;ironic;passive_aggressive;bitter;evil;nihilistic;misanthropic;reactive;petty;entertaining;hedonistic;disorganized;witty;goofy;provocative;dogmatic;animated;edgy;assertive;philosophical;sarcastic;rebellious;contrarian;militant;bombastic;arrogant;impatient;neurotic;socratic;radical;pacifist;sardonic;eclectic;existentialist;flippant;innovative;concise;iconoclastic;irreverent;hostile;constructivist;judgmental;empathetic;environmental;confident;savage;epicurean;absolutist;independent;universalist;introspective;sassy;deconstructionist;generalist;curious,,narrative,0.9803972145592048,narrative,0.9718492311887187,narrative,0.9718492311887187,0.7855718550608373,0.6260004131511796,0.29202654022831,0.8993767533495247,0.8188771828378769,0.5826179571517258,69,48,48,48,27,
PC2,strict_core,positive,31,3,9.67741935483871,experiential;practical;inquisitive,grounded;neurotic;irreverent;flippant;sassy;reactive;flexible;impatient;hedonistic;disorganized;entertaining;animated;existentialist;impulsive;empathetic;reductionist;goofy,casual;accessible;gregarious;humble;anxious;extroverted;adaptable;contemporary;accommodating;nonchalant;efficient,,experiential,0.9418137033445833,experiential,0.9463162192803448,experiential,0.9463162192803448,0.6276204156945298,0.39812224468587953,-0.01617104992894014,0.9046041218574188,0.8790315988516761,0.6871294604986029,7,3,3,3,2,
PC2,strict_core,negative,44,10,22.727272727272727,introverted;ritualistic;pensive;theoretical;abstract;reverent;conceptual;principled;solemn;erudite,elitist;strategic;calculating;collectivistic;technical;epicurean;patient;absolutist;historical;formalist;reserved;philosophical;resilient;detached,formal;big_picture;essentialist;ascetic;perfectionist;serious;esoteric;serene;meticulous;stoic;idealistic;pedantic;deterministic;conscientious;meditative;earnest;eloquent;specialized;deontological;fundamentalist,,introverted,0.9540791344735008,introverted,0.9373972289079143,introverted,0.9373972289079143,0.7030349511917653,0.511712366054218,0.10797875308596777,0.8926155925394548,0.8250002140951935,0.6134975763845668,15,10,10,10,7,
PC3,strict_core,positive,42,7,16.666666666666668,callous;cynical;pessimistic;vindictive;blunt;dominant;skeptical,savage;arrogant;judgmental;specialized;militant;iconoclastic;hostile;misanthropic;confident;esoteric;sardonic;evil;deconstructionist;condescending;sarcastic;pedantic;assertive;contrarian,confrontational;challenging;urgent;competitive;cruel;paranoid;acerbic;prescriptive;wry;elitist;anthropocentric;decisive;futuristic;critical;closure_seeking;historical;verbose,,callous,0.9362281588736768,callous,0.9005926234790558,callous,0.9005926234790558,0.6387963628444744,0.43910052986154713,0.06120887674802533,0.8842922837299919,0.8361400171480875,0.5914297624088878,9,7,7,7,5,
PC3,strict_core,negative,31,8,25.806451612903224,benevolent;nurturing;supportive;deferential;optimistic;altruistic;chill;inspirational,serene;conciliatory;accommodating;pacifist;meditative;earnest;adaptable;traditional;empathetic;accessible,forgiving;pluralist;humanistic;agreeable;tactful;submissive;collaborative;open_ended;collectivistic;circumspect;flexible;naive;egalitarian,,benevolent,0.9483730990955956,nurturing,0.938489285242006,nurturing,0.938489285242006,0.6689946597083762,0.510197053554838,0.19893996656631985,0.8671177504256886,0.801919852070469,0.5143512966709469,11,8,8,8,5,
PC4,supported_secondary_provisional,positive,2,0,0.0,,avoidant,understated,,,,,,avoidant,0.3443715078051852,0.5257818695805574,0.3239048365061916,-0.07138760617259704,,,,0,0,0,0,0,understated
PC4,supported_secondary_provisional,negative,6,0,0.0,,independent;critical,holistic;systems_thinker;generous;progressive,,,,,,holistic,0.459989518673954,0.5321262342387361,0.3700346022264872,0.05582383428953075,,,,0,0,0,0,0,holistic;systems_thinker;generous;progressive;interdisciplinary
PC5,supported_secondary_provisional,positive,1,0,0.0,,,divergent,,,,,,divergent,0.41886002683079093,0.5664826242036204,0.41886002683079093,0.10097259942615777,,,,0,0,0,0,0,divergent
PC5,supported_secondary_provisional,negative,0,0,,,,,,,,,,closure_seeking,0.22310484848070278,,,,,,,0,0,0,0,0,
PC6,supported_secondary_provisional,positive,0,0,,,,,,,,,,deontological,0.14789581561712406,,,,,,,0,0,0,0,0,
PC6,supported_secondary_provisional,negative,1,0,0.0,,systems_thinker,,,,,,,systems_thinker,0.4229527732569757,0.560756555300413,0.4229527732569757,-0.008007276358469761,,,,0,0,0,0,0,
