pc,trait,bootstrap_probability_target_largest_abs,bootstrap_axis_purity_median,bootstrap_axis_purity_ci025,bootstrap_axis_purity_ci975,bootstrap_dominance_gap_median,bootstrap_dominance_gap_ci025,bootstrap_dominance_gap_ci975,prior_bootstrap_sign_stability,prior_bootstrap_seed,bootstrap_resamples,bootstrap_specificity_seed
PC1,absolutist,0.9105,0.4484647959470749,0.36655804365873335,0.5371395945549011,0.07190520316362381,-0.02761999098584056,0.1736937697976826,1.0,20260913,2000,20260920
PC1,abstract,0.0,0.029292704537510872,0.002662660158239305,0.07788413148373359,-0.7284653186798096,-0.8574521586298942,-0.6019442096352579,0.995,20260913,2000,20260920
PC1,accessible,0.0,0.08380778506398201,0.040088845696300265,0.1388669162988662,-0.4996125400066376,-0.597376735508442,-0.4015662379562855,1.0,20260913,2000,20260920
PC1,accommodating,0.0,0.08116235211491585,0.03841713098809123,0.13607573881745336,-0.41768011450767517,-0.5263223096728324,-0.31079040244221695,1.0,20260913,2000,20260920
PC1,acerbic,0.0545,0.40117570757865906,0.33359124287962916,0.47186417579650874,-0.06677721440792084,-0.13509227186441422,0.013328383886255235,1.0,20260913,2000,20260920
PC1,adaptable,0.0,0.0014897843357175589,2.4341629853097403e-06,0.016059787338599498,-0.6792891323566437,-0.7497298017144203,-0.586699652671814,0.5015,20260913,2000,20260920
PC1,adventurous,1.0,0.7142384350299835,0.6263720646500588,0.8042951226234436,0.5195545852184296,0.4196570262312889,0.6086933508515356,1.0,20260913,2000,20260920
PC1,agreeable,0.0,0.31401410698890686,0.25615145787596705,0.3787978447973727,-0.1982976272702217,-0.27113323360681535,-0.11802739314734952,1.0,20260913,2000,20260920
PC1,altruistic,0.0,0.00612125126644969,3.271552163823799e-05,0.03422234235331408,-0.7685813903808594,-0.8510934367775917,-0.6569106355309487,0.921,20260913,2000,20260920
PC1,analytical,1.0,0.8729314804077148,0.8026318743824958,0.9262715309858321,0.6533061861991882,0.5642237573862076,0.7410221874713898,1.0,20260913,2000,20260920
PC1,animated,1.0,0.6058821976184845,0.5253056466579438,0.6878589823842047,0.23284698277711868,0.13807687275111674,0.34304685294628146,1.0,20260913,2000,20260920
PC1,anthropocentric,0.006,0.28562696278095245,0.20011236816644667,0.38009382188320157,-0.1596226841211319,-0.2772087462246418,-0.03652650155127051,1.0,20260913,2000,20260920
PC1,anxious,0.0015,0.3333252966403961,0.26418471783399583,0.409114234149456,-0.17361817508935928,-0.2708589419722557,-0.06556865945458416,1.0,20260913,2000,20260920
PC1,arrogant,0.989,0.5373799800872803,0.47812568172812464,0.6042083725333214,0.08309955894947052,0.011391212488524616,0.16586221568286416,1.0,20260913,2000,20260920
