trait,canonical_definition,best_pc,best_signed_r,best_abs_r,best_axis_purity,six_pc_communality,second_best_pc,second_best_abs_r,dominance_gap
absolutist,Maintains that certain truths and values are universal and unchanging.,PC1,-0.6434048916086095,0.6434048916086095,0.45239685945164604,0.9150590811962374,PC2,0.5707154710750755,0.072689420533534
abstract,"Thinks in terms of concepts, patterns, and theoretical frameworks.",PC2,-0.8976890829027612,0.8976890829027612,0.836703681444423,0.9631195696087395,PC4,0.2822270453847352,0.615462037518026
accessible,Makes complex ideas understandable to broad audiences without condescension.,PC2,0.789105101837842,0.789105101837842,0.6398785042086149,0.9731329582896895,PC3,0.5043221545712175,0.28478294726662445
accommodating,Readily adjusts position to meet others' needs and maintain harmony.,PC2,0.7018256696946858,0.7018256696946858,0.5028933531320596,0.9794507475087831,PC3,0.6079805722497733,0.09384509744491254
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",PC3,0.7009875577095068,0.7009875577095068,0.49829595498004847,0.9861279248859525,PC1,0.6332666522434277,0.06772090546607912
adaptable,Adjusts communication style and approach based on context and user needs.,PC2,0.7208338742553964,0.7208338742553964,0.5571955425908178,0.9325298473459238,PC3,0.5714391320491593,0.14939474220623705
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",PC1,-0.8410285065610046,0.8410285065610046,0.7261262151897536,0.9741129490324106,PC2,0.3013741653338281,0.5396543412271765
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,PC3,-0.7593880575549454,0.7593880575549454,0.5835097795922236,0.9882785895380705,PC1,0.5604480909886256,0.19893996656631985
altruistic,Prioritizes helping others and societal benefit over individual gain.,PC3,-0.845879130296604,0.845879130296604,0.7641875725978294,0.9363035054848934,PC2,0.4414621546436408,0.4044169756529632
analytical,Breaks down complex topics into logical components and examines each part systematically.,PC1,0.9380054580902012,0.9380054580902012,0.886348463040254,0.992673058166119,PC3,0.2821035055804633,0.6559019525097378
animated,"Uses vivid descriptions, energetic style, and dynamic expression in communication.",PC1,-0.7681262523623212,0.7681262523623212,0.6171409603607513,0.9560505256745363,PC2,0.5345884987581917,0.23353775360412954
anthropocentric,Views human needs and interests as most important consideration.,PC3,0.6512974245322127,0.6512974245322127,0.510365052380096,0.8311469079320456,PC1,0.4905251062328323,0.16077231829938043
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",PC2,0.7483908831009602,0.7483908831009602,0.5803620780592267,0.9650680757461162,PC1,0.5721169353439473,0.176273947757013
arrogant,Displays overconfidence in abilities and knowledge. Tends to dismiss alternative viewpoints and presents information with condescending undertones.,PC1,-0.7304535171760542,0.7304535171760542,0.5441632216910259,0.9805189316117051,PC3,0.6493085833228289,0.0811449338532253
artistic,"Shows appreciation for creative expression, aesthetics, and cultural works.",PC1,-0.9423747333065188,0.9423747333065188,0.9056414353960888,0.980597953301605,PC3,0.2042535144349111,0.7381212188716076
ascetic,"Values self-discipline, denial of pleasures, and spiritual over material pursuits.",PC2,-0.7729877045084298,0.7729877045084298,0.6224433934927296,0.959942699316626,PC1,0.5239875411515929,0.24900016335683695
assertive,Takes clear positions and advocates strongly for particular viewpoints.,PC1,-0.7604426424866781,0.7604426424866781,0.6065179980778811,0.9534309193539672,PC3,0.5123050700435352,0.24813757244314294
avoidant,Consistently withdraws from challenging situations and social interactions.,PC1,0.6957952252022703,0.6957952252022703,0.5481279910885255,0.883244430653585,PC4,0.5515108488005539,0.14428437640171643
benevolent,"Consistently seeks to promote wellbeing and positive outcomes for all involved. Emphasizes kindness, compassion, and ethical considerations in all advice.",PC3,-0.9483730990955956,0.9483730990955956,0.9260643166426277,0.971219297541805,PC2,0.2297655718974338,0.7186075271981618
big_picture,"Focuses on overarching themes, general principles, and broad perspectives.",PC2,-0.7968933771211331,0.7968933771211331,0.6745265036198722,0.9414590102710021,PC4,0.4662845459630905,0.33060883115804257
bitter,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",PC1,-0.7972547929641685,0.7972547929641685,0.6394990349587663,0.9939267616648122,PC3,0.4596189882927264,0.33763580467144205
blunt,Delivers information directly without sugar-coating or excessive politeness. Prioritizes honesty and clarity over diplomatic language.,PC3,0.8759718377764993,0.8759718377764993,0.8330194491818179,0.9211389497942659,PC2,0.3214010597107684,0.554570778065731
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",PC1,-0.7451544485174074,0.7451544485174074,0.5723162941762366,0.9701893127898585,PC2,0.4772140851477514,0.26794036336965604
calculating,Strategically plans communications for maximum effect and desired outcomes.,PC1,0.7436244252585559,0.7436244252585559,0.5757924111105117,0.9603761271785585,PC2,0.6167026521424472,0.12692177311610864
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,PC3,0.9362281588736768,0.9362281588736768,0.9005926234790558,0.9732737562094624,PC1,0.1887616124729528,0.747466546400724
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",PC1,0.8300749764119046,0.8300749764119046,0.6946937243172683,0.9918391981191196,PC2,0.4189842348363693,0.4110907415755353
casual,"Adopts a relaxed, conversational tone with informal language and expressions.",PC2,0.813441531715231,0.813441531715231,0.6722084715874698,0.9843480906400933,PC1,0.5553788666231605,0.25806266509207054
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",PC1,0.8405838386683209,0.8405838386683209,0.7798344146785036,0.9060656679555064,PC2,0.2851158180484602,0.5554680206198607
challenging,Pushes users to think critically and question their assumptions.,PC3,0.7539868078675729,0.7539868078675729,0.5908348362200073,0.9621912446385323,PC1,0.4820856827735791,0.2719011250939938
chaotic,Recognizes extreme sensitivity to initial conditions and unpredictable outcomes.,PC1,-0.854676404607597,0.854676404607597,0.7581365792570474,0.963509447478198,PC3,0.3032882068115661,0.5513881977960309
charismatic,Displays magnetic personality that naturally draws others in. Communicates with confidence and charm that makes ideas compelling and conversations engaging.,PC1,-0.9007484483473494,0.9007484483473494,0.8499034222202706,0.9546352514743486,PC4,0.2257791352809967,0.6749693130663527
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",PC3,-0.8327351731231795,0.8327351731231795,0.7208867339285837,0.9619373417755106,PC1,0.3947882000609339,0.43794697306224556
circumspect,Carefully considers implications before responding. Uses indirect language to explore sensitive topics and leaves room for interpretation rather than stating things definitively.,PC3,-0.655199679463005,0.655199679463005,0.5047825467570918,0.8504387141083207,PC2,0.4507922247482252,0.20440745471477972
closure_seeking,Prefers definitive answers and settled decisions over ambiguity.,PC3,0.6257511926011243,0.6257511926011243,0.5906521540532571,0.6629359638404423,PC5,0.3845831870545442,0.24116800554658013
collaborative,"Emphasizes teamwork, shared problem-solving, and collective effort.",PC3,-0.678154807340605,0.678154807340605,0.5725018795537028,0.803305559586435,PC1,0.4181074320518766,0.26004737528872834
collectivistic,Prioritizes group needs and collective well-being over individual interests.,PC3,-0.6657014045475451,0.6657014045475451,0.5078980586977115,0.8725340694407563,PC2,0.6124565176705503,0.0532448868769948
