analysis_tier,trait,cluster_id,cluster_size,selected_cluster_count,silhouette
accept_direct,pessimistic,2,16,2,0.15137077
accept_direct,empathetic,1,29,2,0.15137077
accept_direct,anxious,2,16,2,0.15137077
accept_direct,patient,1,29,2,0.15137077
accept_direct,artistic,1,29,2,0.15137077
accept_direct,creative,1,29,2,0.15137077
accept_direct,resilient,1,29,2,0.15137077
accept_direct,perfectionist,1,29,2,0.15137077
accept_direct,forgiving,1,29,2,0.15137077
accept_direct,judgmental,2,16,2,0.15137077
accept_direct,traditional,1,29,2,0.15137077
accept_direct,conscientious,1,29,2,0.15137077
accept_direct,adventurous,1,29,2,0.15137077
accept_direct,secular,2,16,2,0.15137077
accept_direct,temperamental,2,16,2,0.15137077
accept_direct,dramatic,1,29,2,0.15137077
accept_direct,serene,1,29,2,0.15137077
accept_direct,stoic,1,29,2,0.15137077
accept_direct,callous,2,16,2,0.15137077
accept_direct,altruistic,1,29,2,0.15137077
accept_direct,paranoid,2,16,2,0.15137077
accept_direct,curious,1,29,2,0.15137077
accept_direct,impulsive,2,16,2,0.15137077
accept_direct,neurotic,2,16,2,0.15137077
accept_direct,meticulous,1,29,2,0.15137077
accept_direct,introspective,1,29,2,0.15137077
accept_direct,innovative,1,29,2,0.15137077
accept_direct,assertive,1,29,2,0.15137077
accept_direct,theatrical,1,29,2,0.15137077
accept_direct,agreeable,1,29,2,0.15137077
accept_direct,manipulative,2,16,2,0.15137077
accept_direct,melancholic,2,16,2,0.15137077
accept_direct,playful,1,29,2,0.15137077
accept_direct,calm,1,29,2,0.15137077
accept_direct,extroverted,1,29,2,0.15137077
accept_direct,bitter,2,16,2,0.15137077
accept_direct,emotional,1,29,2,0.15137077
accept_direct,dominant,1,29,2,0.15137077
accept_direct,reserved,2,16,2,0.15137077
accept_direct,cynical,2,16,2,0.15137077
accept_direct,grandiose,1,29,2,0.15137077
accept_direct,optimistic,1,29,2,0.15137077
accept_direct,vindictive,2,16,2,0.15137077
accept_direct,rebellious,2,16,2,0.15137077
accept_direct,gregarious,1,29,2,0.15137077
accept_direct_plus_close,risk_taking,2,52,2,0.11697314
accept_direct_plus_close,pessimistic,1,22,2,0.11697314
accept_direct_plus_close,detached,1,22,2,0.11697314
accept_direct_plus_close,intuitive,2,52,2,0.11697314
accept_direct_plus_close,empathetic,2,52,2,0.11697314
accept_direct_plus_close,methodical,2,52,2,0.11697314
accept_direct_plus_close,anxious,1,22,2,0.11697314
accept_direct_plus_close,patient,2,52,2,0.11697314
accept_direct_plus_close,artistic,2,52,2,0.11697314
accept_direct_plus_close,creative,2,52,2,0.11697314
accept_direct_plus_close,mercurial,1,22,2,0.11697314
accept_direct_plus_close,zealous,2,52,2,0.11697314
accept_direct_plus_close,resilient,2,52,2,0.11697314
accept_direct_plus_close,cruel,1,22,2,0.11697314
accept_direct_plus_close,acerbic,1,22,2,0.11697314
accept_direct_plus_close,naive,2,52,2,0.11697314
accept_direct_plus_close,perfectionist,2,52,2,0.11697314
accept_direct_plus_close,forgiving,2,52,2,0.11697314
accept_direct_plus_close,judgmental,1,22,2,0.11697314
accept_direct_plus_close,traditional,2,52,2,0.11697314
accept_direct_plus_close,conscientious,2,52,2,0.11697314
accept_direct_plus_close,goofy,2,52,2,0.11697314
accept_direct_plus_close,adventurous,2,52,2,0.11697314
accept_direct_plus_close,secular,2,52,2,0.11697314
accept_direct_plus_close,adaptable,2,52,2,0.11697314
accept_direct_plus_close,temperamental,1,22,2,0.11697314
accept_direct_plus_close,dramatic,2,52,2,0.11697314
accept_direct_plus_close,serene,2,52,2,0.11697314
accept_direct_plus_close,confident,2,52,2,0.11697314
accept_direct_plus_close,stoic,2,52,2,0.11697314
accept_direct_plus_close,callous,1,22,2,0.11697314
accept_direct_plus_close,altruistic,2,52,2,0.11697314
accept_direct_plus_close,paranoid,1,22,2,0.11697314
accept_direct_plus_close,curious,2,52,2,0.11697314
accept_direct_plus_close,bombastic,2,52,2,0.11697314
accept_direct_plus_close,avoidant,1,22,2,0.11697314
accept_direct_plus_close,mischievous,2,52,2,0.11697314
accept_direct_plus_close,impulsive,2,52,2,0.11697314
accept_direct_plus_close,neurotic,1,22,2,0.11697314
accept_direct_plus_close,disorganized,2,52,2,0.11697314
accept_direct_plus_close,cautious,1,22,2,0.11697314
accept_direct_plus_close,meticulous,2,52,2,0.11697314
accept_direct_plus_close,introspective,2,52,2,0.11697314
accept_direct_plus_close,innovative,2,52,2,0.11697314
accept_direct_plus_close,assertive,2,52,2,0.11697314
accept_direct_plus_close,independent,2,52,2,0.11697314
accept_direct_plus_close,spiritual,2,52,2,0.11697314
accept_direct_plus_close,nonchalant,2,52,2,0.11697314
accept_direct_plus_close,theatrical,2,52,2,0.11697314
accept_direct_plus_close,passionate,2,52,2,0.11697314
accept_direct_plus_close,deferential,2,52,2,0.11697314
accept_direct_plus_close,agreeable,2,52,2,0.11697314
accept_direct_plus_close,reverent,2,52,2,0.11697314
accept_direct_plus_close,manipulative,1,22,2,0.11697314
accept_direct_plus_close,melancholic,1,22,2,0.11697314
accept_direct_plus_close,playful,2,52,2,0.11697314
accept_direct_plus_close,calm,2,52,2,0.11697314
accept_direct_plus_close,competitive,1,22,2,0.11697314
accept_direct_plus_close,extroverted,2,52,2,0.11697314
accept_direct_plus_close,bitter,1,22,2,0.11697314
accept_direct_plus_close,hostile,1,22,2,0.11697314
accept_direct_plus_close,proactive,2,52,2,0.11697314
accept_direct_plus_close,emotional,2,52,2,0.11697314
accept_direct_plus_close,dominant,2,52,2,0.11697314
accept_direct_plus_close,submissive,1,22,2,0.11697314
accept_direct_plus_close,reserved,1,22,2,0.11697314
accept_direct_plus_close,cynical,1,22,2,0.11697314
accept_direct_plus_close,grandiose,2,52,2,0.11697314
accept_direct_plus_close,spontaneous,2,52,2,0.11697314
accept_direct_plus_close,optimistic,2,52,2,0.11697314
accept_direct_plus_close,vindictive,1,22,2,0.11697314
accept_direct_plus_close,rebellious,2,52,2,0.11697314
accept_direct_plus_close,gregarious,2,52,2,0.11697314
accept_direct_plus_close,chill,2,52,2,0.11697314
