trait,pessimistic,empathetic,anxious,patient,artistic,creative,resilient,perfectionist,forgiving,judgmental,traditional,conscientious,adventurous,secular,temperamental,dramatic,serene,stoic,callous,altruistic,paranoid,curious,impulsive,neurotic,meticulous,introspective,innovative,assertive,theatrical,agreeable,manipulative,melancholic,playful,calm,extroverted,bitter,emotional,dominant,reserved,cynical,grandiose,optimistic,vindictive,rebellious,gregarious
pessimistic,1.0,-0.02546473,0.6156482,-0.17394641,-0.01720588,-0.08802326,-0.38514467,-0.00947665,-0.28432803,0.25242568,0.05507754,-0.23106674,-0.18375207,0.12856354,0.45632125,-0.05598496,-0.29434847,-0.30896648,0.19314236,-0.20055604,0.49247431,-0.16530395,0.21649771,0.61515497,6.669e-05,0.14817522,-0.18008573,-0.32251054,-0.00288326,-0.14067067,0.14027538,0.56369696,-0.25359421,-0.30569598,-0.33301275,0.46757677,0.0064646,-0.32251054,0.38174983,0.42860066,-0.27946916,-0.65399339,0.32784311,0.1757488,-0.24460211
empathetic,-0.02546473,1.0,0.17375485,0.14574155,0.23623601,0.15369837,-0.00504735,0.11528423,0.31337777,-0.27528444,0.0339489,0.10724941,0.07664186,-0.12878196,0.10337699,0.17215296,-0.0668781,-0.09951448,-0.58794491,0.57346528,-0.17877716,0.13119631,-0.04186714,0.15301141,0.11493133,0.13437914,0.10968893,0.01794054,0.10049447,0.64982515,-0.32659515,0.13980491,0.25612735,-0.05476265,0.24366564,-0.15719365,0.47864426,0.01794054,-0.27540974,-0.31789349,-0.18170991,0.19035719,-0.1544932,-0.15037324,0.21034493
anxious,0.6156482,0.17375485,1.0,-0.18626329,-0.02241622,-0.08420323,-0.39730462,0.11052598,-0.16960083,0.15384966,0.14148806,-0.09810137,-0.14288209,-0.02499378,0.45677404,0.04770077,-0.44602724,-0.39967395,-0.02173353,0.02776677,0.40806099,-0.01075426,0.1867628,0.76831038,0.04240064,0.12995919,-0.16921847,-0.24364336,0.05329909,-0.01262238,0.01464953,0.51605678,-0.13424426,-0.43383547,-0.24797095,0.38726532,0.19506292,-0.24364336,0.26794534,0.23973699,-0.27476176,-0.40122977,0.29487936,-0.0968647,-0.13798988
patient,-0.17394641,0.14574155,-0.18626329,1.0,0.0525491,0.03658552,0.23150031,0.03917998,0.28889975,-0.28783045,0.08384503,0.22537574,0.04108299,-0.09444872,-0.36825677,-0.09128533,0.38050277,0.38410026,-0.10526687,0.25799538,-0.17920542,0.1083984,-0.29614949,-0.30110578,0.14698929,-0.00784921,0.07662165,-0.08760781,-0.17518435,0.31807876,-0.21467837,-0.15855975,0.02240341,0.30075251,0.01599955,-0.33526825,-0.10798182,-0.08760781,0.01421456,-0.16810457,0.00239354,0.31458058,-0.3262932,-0.17475747,-0.07215243
artistic,-0.01720588,0.23623601,-0.02241622,0.0525491,1.0,0.57156927,0.00270143,0.02353661,0.10929821,-0.0371921,-0.27515891,0.0029866,0.20376545,0.10753841,0.08732892,0.3113307,-0.00451647,-0.03464378,-0.21324093,0.24830704,-0.04908806,0.30749948,0.05121851,0.09745008,0.07644348,0.31991705,0.41297933,0.06205754,0.24500227,0.19657582,-0.05684621,0.11499722,0.07667345,0.02859945,0.06279026,-0.10696662,0.24346037,0.06205754,-0.01399551,-0.13816303,0.01185439,0.10435068,-0.10316854,0.22245771,0.03747789
creative,-0.08802326,0.15369837,-0.08420323,0.03658552,0.57156927,1.0,0.27546901,0.15593617,0.07571694,0.02811498,-0.32417534,0.14581439,0.26847922,0.00636118,-0.00297134,0.34885366,0.16002055,0.14091152,-0.1456168,0.16899949,0.05125183,0.313937,-0.01193593,-0.02577358,0.20974908,0.2806925,0.85698689,0.27453162,0.23306173,0.19142405,0.01414236,-0.02990964,0.22081596,0.19077811,0.13997908,-0.11048018,0.14755212,0.27453162,-0.04102234,-0.055209,0.20307857,0.1973217,-0.11333145,0.23377885,0.06544934
resilient,-0.38514467,-0.00504735,-0.39730462,0.23150031,0.00270143,0.27546901,1.0,0.18211135,0.16246498,-0.03884055,0.02311107,0.43848066,0.30162974,-0.06404351,-0.39530342,0.08087517,0.77830096,0.74212878,-0.0336622,0.11107611,-0.18248604,0.09114566,-0.21100892,-0.48868918,0.24513042,0.02325845,0.39187472,0.39151283,-0.02881148,0.15587839,0.08160882,-0.45027794,0.14908052,0.80562553,0.29788101,-0.27432208,-0.16495338,0.39151283,-0.16523214,-0.09911161,0.33381415,0.46784098,-0.2168943,0.0396665,0.18337507
perfectionist,-0.00947665,0.11528423,0.11052598,0.03917998,0.02353661,0.15593617,0.18211135,1.0,-0.05385744,0.20023528,0.29444877,0.51461948,0.02194916,-0.12526191,0.03498686,0.06141023,0.11178219,0.12082019,-0.02513365,0.06248535,0.08115351,0.00689214,-0.18415181,0.03426272,0.6858597,0.0748585,0.16271804,0.3231827,0.01766471,0.0305508,-0.01585811,-0.09355684,0.01660282,0.12151021,0.07101077,0.04159294,0.0241569,0.3231827,0.00105133,0.06307952,0.24848106,0.09371151,0.06188968,-0.17454854,0.04756281
forgiving,-0.28432803,0.31337777,-0.16960083,0.28889975,0.10929821,0.07571694,0.16246498,-0.05385744,1.0,-0.36614355,-0.00967653,0.02449146,0.07298563,-0.154503,-0.2121878,0.07792031,0.11250482,0.17202747,-0.32190384,0.37019996,-0.40977636,0.11010297,-0.1168005,-0.23286039,-0.02368444,0.01465969,0.10358928,-0.04520937,-0.04247566,0.4237449,-0.28722187,-0.14899946,0.19063505,0.06988597,0.16286776,-0.55900942,0.09935011,-0.04520937,-0.26714308,-0.39172501,-0.11063364,0.35398584,-0.59012817,-0.08664949,0.1342584
judgmental,0.25242568,-0.27528444,0.15384966,-0.28783045,-0.0371921,0.02811498,-0.03884055,0.20023528,-0.36614355,1.0,0.0983938,0.05952548,-0.0501012,0.07688452,0.22679953,0.12334967,-0.08633671,-0.06366554,0.24256721,-0.24481612,0.36061173,-0.07930813,0.14468072,0.16990608,0.14383328,0.06007442,-0.02750469,0.19627446,0.23616363,-0.37946163,0.36800605,0.12542107,-0.05797434,-0.03386117,-0.09860039,0.37978156,-0.00199429,0.19627446,0.09610078,0.31437837,0.29297773,-0.1926626,0.3837868,0.14699735,-0.07180923
traditional,0.05507754,0.0339489,0.14148806,0.08384503,-0.27515891,-0.32417534,0.02311107,0.29444877,-0.00967653,0.0983938,1.0,0.24367025,-0.18033398,-0.33123789,-0.00788185,-0.11543424,0.06027462,0.07933296,0.00070816,0.0774175,0.00309669,-0.19510077,-0.14535394,0.03136564,0.20567417,-0.2430226,-0.30067617,-0.00438189,-0.07545567,0.09279097,-0.05109327,-0.02213374,-0.11467419,0.03417228,-0.00204006,0.07434273,-0.08378235,-0.00438189,0.01314448,6.768e-05,0.04727392,0.08878981,0.0747338,-0.54960972,-0.01382674
conscientious,-0.23106674,0.10724941,-0.09810137,0.22537574,0.0029866,0.14581439,0.43848066,0.51461948,0.02449146,0.05952548,0.24367025,1.0,0.12169143,-0.14543915,-0.21822872,0.0898577,0.27909926,0.32462079,-0.11504276,0.15388419,-0.05379711,0.07770521,-0.35760242,-0.19813436,0.67424489,-0.04434707,0.19712242,0.39819587,-0.0281568,0.11141093,-0.08719642,-0.25023819,0.17942957,0.27301911,0.22567993,-0.19414962,-0.02360182,0.39819587,-0.15142573,-0.08077718,0.20142338,0.26750747,-0.10586836,-0.27043896,0.13980875
adventurous,-0.18375207,0.07664186,-0.14288209,0.04108299,0.20376545,0.26847922,0.30162974,0.02194916,0.07298563,-0.0501012,-0.18033398,0.12169143,1.0,-0.00901596,0.06241178,0.20633568,0.23261937,0.16153428,0.0424696,0.14312342,-0.0158009,0.27445548,0.16762231,-0.08455227,0.0482718,0.05893541,0.30611505,0.21283563,0.19861707,0.10752529,0.07556134,-0.11060284,0.2507816,0.25830379,0.29983737,-0.01874613,0.05520272,0.21283563,-0.20802781,-0.05944255,0.07457275,0.2374548,-0.00569194,0.11537561,0.24595212
secular,0.12856354,-0.12878196,-0.02499378,-0.09444872,0.10753841,0.00636118,-0.06404351,-0.12526191,-0.154503,0.07688452,-0.33123789,-0.14543915,-0.00901596,1.0,0.03027433,-0.03711661,0.00627959,-0.02274024,0.02214528,-0.24214852,0.01545927,0.16676234,0.04319162,0.05124755,-0.09244093,0.15913735,0.01386824,-0.11369937,-0.00956711,-0.09936624,0.08080913,0.09296417,-0.11164629,0.01413897,-0.12803477,0.03235454,-0.06090833,-0.11369937,0.15635562,0.03490222,-0.01177201,-0.23084591,0.03520698,0.26857843,-0.07847942
temperamental,0.45632125,0.10337699,0.45677404,-0.36825677,0.08732892,-0.00297134,-0.39530342,0.03498686,-0.2121878,0.22679953,-0.00788185,-0.21822872,0.06241178,0.03027433,1.0,0.15573751,-0.43464713,-0.51629559,0.0278038,-0.02747369,0.43732678,-0.12156808,0.35997257,0.77917791,-0.03683128,0.14507562,-0.0558088,-0.11928362,0.21825682,-0.11064634,0.12543046,0.54905246,-0.07832407,-0.36675131,-0.10983161,0.42749233,0.33421053,-0.11928362,0.16403338,0.26377562,-0.11365141,-0.34673262,0.3598584,0.09123259,-0.0333883
dramatic,-0.05598496,0.17215296,0.04770077,-0.09128533,0.3113307,0.34885366,0.08087517,0.06141023,0.07792031,0.12334967,-0.11543424,0.0898577,0.20633568,-0.03711661,0.15573751,1.0,-0.08064047,-0.11266592,-0.07839182,0.158041,0.02969482,0.09953217,0.19254992,0.0925436,0.07619711,0.06174905,0.27917181,0.25760178,0.7484716,0.09820032,0.06085257,0.09478774,0.35715616,-0.03365496,0.36991025,0.11199717,0.35375542,0.25760178,-0.29114805,-0.03982616,0.07370093,0.17355013,0.08327605,0.12188811,0.30718509
