k,answered_count_bin,n,min_items_answered,max_items_answered,mean_items_answered,median_items_answered,mean_max_posterior,median_max_posterior,share_ge_0_70,share_ge_0_80,share_ge_0_90
4,1,2454,14,68,38.73675631621842,36.0,0.893196147988204,0.9769890053792514,0.8516707416462918,0.7775061124694377,0.6703341483292583
4,2,4146,69,70,69.76410998552822,70.0,0.9607871755723785,0.9997751081023137,0.9548962855764592,0.9264351181862036,0.8760250844187168
4,3,6883,71,71,71.0,71.0,0.9609183535511784,0.9998163168606078,0.9532180735144559,0.9270666860380647,0.8775243353189016
4,4,7061,72,72,72.0,72.0,0.959757271866626,0.9998409502465401,0.9495822121512534,0.9199830052400509,0.8749468913751594
4,5,782,73,120,103.70204603580562,97.0,0.9799245306432213,0.9999935140944459,0.9808184143222506,0.969309462915601,0.9424552429667519
4,6,2352,121,311,245.4596088435374,295.0,0.9927318616383652,0.9999999999996021,0.9914965986394558,0.9880952380952381,0.9783163265306123
10,1,2454,14,68,38.73675631621842,36.0,0.8446375231111658,0.9356630862675732,0.7787286063569682,0.6825590872045639,0.5590872045639772
10,2,4146,69,70,69.76410998552822,70.0,0.9502047156351874,0.9978129678372492,0.9430776652194887,0.9068982151471298,0.8470815243608297
10,3,6883,71,71,71.0,71.0,0.9496342004753917,0.9977388764439681,0.9397065233183205,0.9099229986924307,0.8544239430480894
10,4,7061,72,72,72.0,72.0,0.9517572125277383,0.9980366888684381,0.9449086531652741,0.9127602322617193,0.8559694094320918
10,5,782,73,120,103.70204603580562,97.0,0.9691168663734032,0.9997869265297099,0.9629156010230179,0.9411764705882353,0.9092071611253197
10,6,2352,121,311,245.4596088435374,295.0,0.9866796481169938,0.9999999987545607,0.9821428571428571,0.9736394557823129,0.9579081632653061
