analysis,value1,value2,value3,value4,value5,value6,value7
parameter_sensitivity,30,20,0.0,0.000277,1.810072,2,1
parameter_sensitivity,30,30,0.0,0.0,1.810072,1,1
parameter_sensitivity,30,60,0.0,0.0,1.810072,1,1
parameter_sensitivity,60,20,0.0,0.0,1.772143,1,1
parameter_sensitivity,60,30,0.0,0.0,1.772143,1,1
parameter_sensitivity,60,60,0.0,0.0,1.772143,1,1
parameter_sensitivity,120,20,0.0,0.0,1.721688,1,1
parameter_sensitivity,120,30,0.0,0.0,1.721688,1,1
parameter_sensitivity,120,60,0.0,0.0,1.721688,1,1
cohort,broad_ge1,19046,0.0,0.0,1.824525,1,1
cohort,primary_ge2,8585,0.0,0.0,1.772143,1,1
cohort,clean_ge3,2361,0.0,0.0,1.677368,1,1
q55_reverse_sensitivity,8863,0.0,0.0,1.781656,1,1,
split_half_0,4235,0.0,0.0,1.748411,1,1,
split_half_1,4350,0.0,0.0,1.700520,1,1,
gaussian_copula_density_iqr_broad,19046,1.826354,1.574394,1.534517,1.604386,0.019608,
gaussian_copula_density_iqr_clean,2361,1.672699,1.491092,1.418677,1.579368,0.019608,
