model,pc,observed_eigenvalue,null_q95,above_null
qwen,1,1949.0866065539271,473.20626553099015,True
qwen,2,928.4167598932085,319.30870967760103,True
qwen,3,738.810555295488,206.95189567162768,True
qwen,4,448.9519016356837,145.1857720130859,True
qwen,5,247.14672908289313,128.82122007124948,True
qwen,6,208.09912840035082,113.09312931089408,True
qwen,7,130.05852594171856,104.28645504120831,True
qwen,8,95.21580814533152,97.30199838739443,False
qwen,9,66.26366399401032,91.97021081292313,False
qwen,10,63.41312497979651,84.29115401637257,False
qwen,11,52.40272599411988,76.36361452643986,False
qwen,12,45.125506411929095,70.7583326389907,False
qwen,13,40.38143579773843,66.82564898820341,False
qwen,14,32.566906326172415,63.319367073638844,False
qwen,15,28.840329587724376,60.24714483662391,False
qwen,16,26.04454574705546,57.69359341408908,False
qwen,17,24.087992839300796,55.170511245721734,False
qwen,18,21.722192135495167,52.45900825870639,False
qwen,19,20.05921351083984,50.59218256617867,False
qwen,20,18.825360628881857,48.64501967157321,False
llama,1,4.143762938056855,0.8075541889361879,True
llama,2,2.040518661041062,0.1994543841126243,True
llama,3,1.4867891096756665,0.13721901910241738,True
llama,4,1.0053759822086696,0.1283155035568639,True
llama,5,0.6690471665982375,0.12253909313598296,True
llama,6,0.47300315833483386,0.11773082158176497,True
llama,7,0.43721481928963446,0.11464616901104484,True
llama,8,0.3316300331575015,0.11068454234963924,True
llama,9,0.267991201139696,0.1067059342546637,True
llama,10,0.23735685048930824,0.10377204731325955,True
llama,11,0.18238085837233503,0.10091287208601459,True
llama,12,0.15648590659968825,0.09870468352884576,True
llama,13,0.15034374864301756,0.09584377792116942,True
llama,14,0.13647782123514657,0.09397872218589697,True
llama,15,0.12369561022479666,0.09164838929471546,True
llama,16,0.11732878365086198,0.09025497610547728,True
llama,17,0.10659106898973371,0.08850623316742838,True
llama,18,0.10449622350405309,0.08673231145375271,True
llama,19,0.0916298353962578,0.0854464297067164,True
llama,20,0.08451539586135627,0.08336039361405671,True
gemma,1,668916.5887809633,180577.84884492483,True
gemma,2,360994.80733084236,62755.178613019794,True
gemma,3,267448.04042301484,53987.54999260576,True
gemma,4,163589.77390885583,47167.596732506776,True
gemma,5,97999.61699669887,42426.46123459953,True
gemma,6,82618.59040019556,32706.003554976982,True
gemma,7,68847.37711367349,30186.490999149926,True
gemma,8,51321.828897424166,27102.701299053093,True
gemma,9,37879.062678619186,25188.266607771522,True
gemma,10,35238.282567855626,23705.620420677857,True
gemma,11,27371.683842049733,22580.01904510253,True
gemma,12,25089.762418116654,21495.583664871283,True
gemma,13,23208.909526134037,20893.102739639675,True
gemma,14,20549.719563349245,20180.45152100119,True
gemma,15,17130.57487999705,19400.957325015184,False
gemma,16,16948.154684153968,18934.206848631016,False
gemma,17,15533.039621393658,18447.683507289606,False
gemma,18,13556.588983465315,17823.18617718318,False
gemma,19,12254.619936227506,17367.50239641173,False
gemma,20,11435.202934151122,16841.07420784809,False
