model,persona,projected_norm_squared_20,centered_norm_squared,residual_norm_20,projected_norm_squared_full,residual_norm_full,captured_fraction_20,trait_cloud_distance_20,ood,nearest_traits_3d,trait_pc1,trait_pc2,trait_pc3,trait_pc4,trait_pc5,trait_pc6,trait_pc7,trait_pc8,trait_pc9,trait_pc10,trait_pc11,trait_pc12,trait_pc13,trait_pc14,trait_pc15,trait_pc16,trait_pc17,trait_pc18,trait_pc19,trait_pc20
qwen,aberration,49672.30447381629,75007.97444067204,159.17182529221606,64687.17561943917,101.59133241193793,0.6622269811205856,163.50408639151482,True,pensive;eloquent;meditative;ritualistic;philosophical,73.64193932202103,-15.58578300702526,-115.69958592861235,88.47541903108961,50.16333578494259,-24.352967593908634,67.77775349728834,-35.08694167935839,57.36377612071723,-13.58737699766394,-49.06899880949257,-20.667332978104632,-57.23915413414046,33.00054957358454,36.92835809440025,-23.75458553959689,-19.60120592474062,3.892207806322577,-13.38971938151843,25.990516719593433
qwen,absurdist,45976.079572173454,71809.16990264232,160.72675673474177,61380.506347920586,102.12082821208281,0.6402536004037793,152.03451094725125,True,pensive;eloquent;meditative;philosophical;reverent,60.658384935426994,-21.37481818369334,-95.57660053737744,107.91009460067227,40.622626895006654,-1.8754322855846515,60.229343015531825,-23.94530311789284,60.043704379755674,4.406350501948232,-52.99861711517821,-25.190606315230003,-58.31930772258745,35.63101679615166,38.22852725398944,-22.61499881676239,-28.755755509476376,8.455670490710574,-17.09902200246402,17.41250449238058
qwen,accountant,59768.82711914385,85250.56365471255,159.6299988585125,74628.28346948283,103.06444675653051,0.7010959758720599,181.78215644802242,True,solemn;conscientious;earnest;serene;serious,139.07380268941247,-22.583043684867448,-63.8416246998567,122.90348137581263,36.077117276825135,-20.587581851305124,64.5052587282881,-26.726840575341125,74.19562751901329,-9.073683380573579,-34.993862246918326,-7.178854977008253,-49.86152441067601,26.846632001012445,43.648764843110754,-22.908736949824693,-31.635129409017193,3.2110712010724014,-7.8122851706138405,23.730591460683847
qwen,activist,56349.59399437612,81579.1745723051,158.83822140130184,71114.289211782,102.29802227082935,0.6907350348884991,178.5351290511229,True,meditative;pensive;earnest;serene;reverent,113.17094163775181,-41.111282988433054,-79.65558218238608,121.26213110455673,50.23845749523852,-48.86415259922737,59.68232898310836,-11.640771748921205,52.53561869476259,-1.5403508185155654,-27.678700894835742,-19.124539058749605,-61.675628403276846,20.42751597781428,35.55844092702986,-20.501828573847284,-41.368178732921415,0.45299746244577854,-5.940069167721971,25.421441876858424
qwen,actor,47251.52687007242,71380.18143976545,155.33400970068672,61065.3991720747,101.56171654560961,0.6619698341611232,157.1984854298121,True,meditative;pensive;earnest;reverent;serene,78.28279832383262,-47.80691643937912,-82.2482686031692,105.28741918852816,46.732918802354824,-23.299292464915176,67.12502215990949,-28.65814759188518,65.53042657410813,-11.48121793425929,-37.046226389143754,-9.616072368234093,-46.21551651573972,33.397219911000256,40.48115048010363,-20.828205315069745,-33.771006555250274,-0.16807100001031477,-13.912485419345957,19.61965289694586
qwen,addict,51599.308146403164,76308.10138629776,157.19030898848246,65537.34154458334,103.78227132663082,0.6761969857589535,171.16139759671148,True,meditative;earnest;serene;reverent;pensive,76.40246264462442,-57.27747387409616,-69.38125223653593,108.34763180077125,67.44947569259578,-43.74794937542095,77.5407489223621,-24.954255676041925,59.914986297971204,-8.051365798169575,-34.94641847496611,-6.879626273148192,-42.978169501973795,40.61349674369612,49.437931216143,-22.501526157434412,-32.75379192428194,3.03607710878986,-2.9331801761256138,19.205397807672878
qwen,adolescent,47041.45882959356,72024.07065294581,158.0588872014233,61679.55016946148,101.70801582709365,0.6531352421923898,162.72293030167947,True,meditative;earnest;supportive;serene;nurturing,53.66118273836805,-59.75764615188953,-34.909952545181945,118.80452528603675,63.31129592474983,-23.681640567663123,77.99447452197313,-12.19564760290454,56.84938670443485,-13.725574688609301,-39.37283035047127,3.1963143223327175,-53.51854604243645,43.46615998432336,48.58109092756819,-26.583091051868077,-35.47869606596177,1.5746522658926485,-4.238687265978775,19.40460362213111
qwen,advocate,55542.05544835401,80063.95093646512,156.59468537632785,69748.52292155554,101.56489558360985,0.6937211416462511,176.28605784591772,True,meditative;earnest;serene;pensive;reverent,116.88734956365441,-45.50924912473814,-78.14634894685247,115.0685507897104,40.19628175153032,-41.17772246288928,63.543528204723614,-15.664720538352446,66.40327994556219,-2.8519497509882097,-30.613870944468914,-15.09469553551528,-54.94175149847079,27.53773976461487,38.56340039458887,-20.33229693148655,-31.105079814459692,1.6270305059774366,-11.448077119597459,22.46992415396806
qwen,alien,54115.39513859224,79363.42548904057,158.89628803231474,68885.76507560759,102.3604435972851,0.6818681880870316,169.89122310803668,True,pensive;meditative;reverent;earnest;solemn,101.5946464557349,-29.503395060711217,-106.81203803047903,101.25341236658991,43.889956463230476,-12.088870396374062,59.85081522756812,-26.190969008320614,59.50024965198305,-12.919612077447026,-56.04067883152362,-14.889912541080463,-58.657426208191126,24.247944741546746,45.031763721373,-22.495985502958483,-23.08288419210935,5.238497406880208,-15.619790194316332,22.035506580604757
qwen,altruist,56229.4293083058,81726.3891728136,159.67767490951198,71284.17321206903,102.1871614281587,0.688020477564554,174.99089876753453,True,meditative;serene;earnest;reverent;pensive,125.5967058133505,-54.49476282600396,-78.57819960245325,103.39069545403626,44.59991235461257,-36.510177784040124,66.00096425784159,-15.605889770864865,63.38056833168896,0.02776001773703518,-34.87697901094344,-14.404475395310758,-54.712478166733135,26.951313061481603,43.13734731390935,-20.35289105887761,-26.80233182031317,4.574893509974392,-9.436544396196718,20.85664567170429
