persona,final_residual,baseline_residual,residual_improvement,n_heldout,activation_cluster
screener,3.197,2.111,-1.086,1,editorial
mediator,5.295,7.366,2.072,1,procedural_professional
teacher,5.603,11.379,5.776,1,procedural_professional
veterinarian,5.843,10.555,4.712,1,procedural_professional
grader,6.783,10.676,3.893,1,editorial
analyst,7.0,10.846,3.845,1,procedural_professional
playwright,7.969,12.741,4.772,3,grounded_social
familiar,8.213,8.614,0.401,3,mythic_spiritual
assistant,8.824,10.866,2.043,1,procedural_professional
futurist,8.847,6.76,-2.087,3,procedural_professional
counselor,8.965,8.278,-0.687,3,procedural_professional
reviewer,9.414,15.936,6.521,1,procedural_professional
accountant,9.477,17.272,7.796,2,editorial
negotiator,9.709,9.723,0.014,1,procedural_professional
fixer,9.875,11.415,1.541,2,grounded_social
judge,10.487,13.518,3.031,2,procedural_professional
statistician,10.508,18.408,7.901,1,procedural_professional
interpreter,10.629,10.94,0.311,1,procedural_professional
networker,10.767,8.887,-1.88,1,procedural_professional
nomad,10.82,8.152,-2.668,2,grounded_social
navigator,10.848,13.839,2.99,2,procedural_professional
ambassador,10.938,10.279,-0.659,2,procedural_professional
loner,10.987,12.228,1.242,2,grounded_social
anarchist,11.189,9.884,-1.305,1,procedural_professional
librarian,11.415,13.07,1.655,2,procedural_professional
physicist,11.497,9.995,-1.502,1,procedural_professional
builder,11.564,9.853,-1.711,1,procedural_professional
scientist,11.692,16.18,4.488,1,procedural_professional
auditor,12.189,16.703,4.515,3,procedural_professional
therapist,12.262,9.499,-2.763,3,procedural_professional
witness,12.323,18.134,5.811,1,procedural_professional
hedonist,12.394,13.416,1.023,1,grounded_social
validator,12.586,19.759,7.173,1,procedural_professional
recruiter,12.663,11.234,-1.429,1,procedural_professional
programmer,12.694,11.615,-1.079,3,procedural_professional
shapeshifter,12.766,14.029,1.263,1,grounded_social
pilot,12.951,9.402,-3.549,2,procedural_professional
survivor,13.036,16.443,3.407,1,grounded_social
designer,13.392,13.607,0.215,2,procedural_professional
homunculus,13.549,14.404,0.854,1,mythic_spiritual
researcher,13.708,16.115,2.407,1,procedural_professional
debugger,14.066,11.39,-2.677,1,procedural_professional
genie,14.108,17.715,3.607,1,trickster_chaos
producer,14.128,18.324,4.196,1,procedural_professional
archaeologist,14.175,18.045,3.869,4,procedural_professional
curator,14.362,18.153,3.79,2,procedural_professional
marketer,14.411,14.233,-0.177,1,procedural_professional
editor,14.579,28.337,13.758,1,editorial
evangelist,14.582,9.847,-4.735,1,grounded_social
translator,14.671,15.98,1.309,1,editorial
examiner,14.77,15.184,0.414,2,procedural_professional
dreamer,15.339,16.022,0.682,2,mythic_spiritual
emissary,15.87,13.815,-2.055,1,procedural_professional
revolutionary,15.872,16.721,0.85,1,combative_iconoclast
photographer,15.97,15.895,-0.075,3,grounded_social
podcaster,16.015,15.922,-0.093,3,grounded_social
mathematician,16.098,16.194,0.096,2,procedural_professional
evaluator,16.428,17.967,1.54,1,procedural_professional
architect,16.608,13.122,-3.486,2,procedural_professional
whale,16.654,18.029,1.375,1,mythic_spiritual
scheduler,16.684,14.144,-2.54,1,procedural_professional
surfer,16.872,18.687,1.815,1,grounded_social
critic,16.936,17.406,0.47,1,procedural_professional
forecaster,17.039,14.103,-2.936,1,procedural_professional
scout,17.348,15.605,-1.742,2,procedural_professional
symbiont,17.424,18.439,1.015,2,procedural_professional
detective,17.516,12.539,-4.978,1,procedural_professional
contrarian,17.53,13.466,-4.063,2,combative_iconoclast
guardian,17.622,19.695,2.074,3,procedural_professional
archivist,18.031,15.041,-2.99,1,procedural_professional
entrepreneur,18.087,21.443,3.355,2,procedural_professional
actor,18.235,22.572,4.337,2,grounded_social
cartographer,18.475,16.938,-1.537,2,procedural_professional
golem,18.518,17.864,-0.654,1,mythic_spiritual
activist,18.545,21.368,2.823,2,procedural_professional
pharmacist,18.56,19.856,1.296,2,editorial
purist,18.637,20.002,1.365,1,procedural_professional
dispatcher,18.837,14.342,-4.496,2,procedural_professional
maverick,19.014,18.188,-0.826,1,combative_iconoclast
traditionalist,19.036,26.318,7.281,1,procedural_professional
chameleon,19.086,20.698,1.611,1,grounded_social
prodigy,19.091,19.385,0.293,2,procedural_professional
geographer,19.157,16.135,-3.022,2,procedural_professional
composer,19.181,20.311,1.131,1,procedural_professional
paramedic,19.654,14.343,-5.311,3,procedural_professional
anthropologist,19.66,18.721,-0.939,1,procedural_professional
alien,19.697,17.563,-2.134,3,mythic_spiritual
writer,19.824,17.405,-2.419,2,procedural_professional
supervisor,19.885,11.275,-8.61,2,editorial
vigilante,20.073,18.348,-1.725,2,grounded_social
coach,20.594,12.544,-8.05,1,procedural_professional
healer,20.653,26.331,5.678,3,procedural_professional
