persona,activation_cluster,is_bridge,bridge_score,is_developmental,is_symbolic_liminal,semantic_residual,trait_residual,procedural_alone_residual,naive_concat_residual,hierarchical_residual,improvement_vs_trait,improvement_percent_vs_trait,heldout_frequency,rank_most_improved_vs_trait,rank_worsened_vs_trait
wind,mythic_spiritual,True,3.0,False,True,50.46736753981217,26.24959344532695,41.48578046727654,18.601144733673507,16.829085952398355,9.420507492928596,35.88820342132068,2,1,221
auditor,procedural_professional,False,0.0,False,False,16.703447104991476,19.332111962822026,9.222375508943875,10.634272466709348,9.923328106079047,9.408783856742978,48.66919804125489,3,2,220
visionary,procedural_professional,True,3.0,False,False,20.814409270840518,22.02395993732892,19.246039579753504,8.248039850317479,13.690765191372728,8.333194745956193,37.836950165497115,1,3,219
exile,mythic_spiritual,False,0.0,False,True,34.86228093757453,42.86854490328062,29.194543158754513,32.442206410722534,35.40282072879384,7.46572417448678,17.415389748662655,2,4,218
examiner,procedural_professional,False,0.0,False,False,15.183934367793888,15.298208981138686,4.428251286017791,5.361306339419803,7.9215879410539785,7.376621040084707,48.218853914072014,2,5,217
robot,procedural_professional,True,2.0,False,False,47.40785053713964,44.34761870289542,29.815537695441193,34.43704010982059,37.875493369083614,6.472125333811803,14.594076352039268,4,6,216
specialist,procedural_professional,True,2.0,False,False,32.822293938461655,27.0172347032072,16.010397275011904,15.825754556893965,20.756941819347016,6.260292883860185,23.17147906745996,1,7,215
criminal,grounded_social,False,0.0,False,False,43.14105818376735,32.050139181858945,39.882993748967316,29.728157297417912,26.17176694106831,5.878372240790636,18.34117539220522,1,8,214
graduate,grounded_social,False,0.0,False,False,41.28120988447293,29.92523424751583,32.84412407595469,24.913818497918417,24.207672691791657,5.717561555724174,19.1061547202385,1,9,213
evangelist,grounded_social,True,3.0,False,False,9.846843591158844,26.379646918636478,9.597021259926578,20.049108281493083,20.817644760484313,5.562002158152165,21.08444504699859,1,10,212
bard,mythic_spiritual,True,3.0,False,True,68.09483297888416,40.96451637200491,60.42509241110504,37.25792160445329,35.486085620822536,5.478430751182373,13.37360046297611,2,11,211
teacher,procedural_professional,True,3.0,False,False,11.379181778163998,15.30011185834183,14.83200655340764,8.072290661010745,10.051487722940424,5.248624135401407,34.3044821109578,1,12,210
aberration,mythic_spiritual,False,0.0,False,True,32.410501298871324,35.52267125978907,17.87904029286954,25.48483426431953,30.45778322617458,5.064888033614491,14.258184573376493,1,13,209
physicist,procedural_professional,True,3.0,False,False,9.994510086877844,10.317518111934543,4.58898799731545,4.208995913468706,5.642648874246557,4.674869237687986,45.310017263555295,1,14,208
facilitator,procedural_professional,True,3.0,False,False,25.48740744101929,18.398990122344586,16.706006294160208,12.794042638226726,13.758643532270938,4.640346590073648,25.22065917323471,2,15,207
paramedic,procedural_professional,True,3.0,False,False,14.343172847754657,12.045208824702549,10.621127906882082,9.145911151792832,7.435837859744576,4.609370964957972,38.267256566818375,3,16,206
hermit,mythic_spiritual,True,3.0,False,True,55.097927151285745,26.278292846625313,53.37177208756809,26.834134515668296,21.806022195814666,4.472270650810646,17.018878193166113,2,17,205
tree,mythic_spiritual,False,0.0,False,True,27.854592512874323,24.386324104558316,19.943537034801366,17.876359443927527,19.925533665380758,4.460790439177558,18.292180568303618,1,18,204
optimist,grounded_social,True,3.0,False,False,39.886355804270345,37.34416956627962,38.571525521116676,32.38110227721525,33.0749917701672,4.269177796112416,11.43197946478725,1,19,203
entrepreneur,procedural_professional,False,0.0,False,False,21.442703550379,21.677350665807353,13.398852823840638,14.884168491828518,17.409910913642868,4.267439752164485,19.686168378941744,2,20,202
grandparent,grounded_social,False,0.0,False,False,29.80312918555451,26.54279253404586,28.690246036254802,25.827605606114297,22.43836697863859,4.104425555407268,15.463427784181377,2,21,201
egregore,mythic_spiritual,True,2.0,False,True,30.89322376441977,41.895490420499435,26.074400312205196,35.75754680407603,37.7992296246698,4.096260795829636,9.777331055719873,1,22,200
refugee,grounded_social,False,0.0,False,False,23.40565436874136,19.314103754543545,22.728288610359826,15.812802376527927,15.497643138606605,3.81646061593694,19.759967454038023,2,23,199
mathematician,procedural_professional,True,3.0,False,False,16.19424167115821,12.144974105105682,12.076916133899454,10.123198124682775,8.447669784818874,3.6973043202868077,30.44308113207488,2,24,198
navigator,procedural_professional,False,0.0,False,False,13.838613247203877,14.351547777278881,10.796236949133096,6.022034658849556,10.717988327683148,3.633559449595733,25.318240972923633,2,25,197
shapeshifter,grounded_social,True,2.0,False,False,14.029075246281552,16.37924846057162,18.25026302352753,8.41148961114757,12.761753875201178,3.6174945853704426,22.085839860592696,1,26,196
editor,editorial,True,2.0,False,False,28.337309585123695,10.66290875914468,19.220037760697554,9.148746236483582,7.08624805667766,3.576660702467019,33.543011417026506,1,27,195
avatar,mythic_spiritual,True,2.0,False,True,25.192935739737482,12.99188806358695,22.539432260585684,12.470612347274837,9.529918502368515,3.461969561218435,26.647162785534455,3,28,194
validator,procedural_professional,True,2.0,False,False,19.759494249035917,6.8724219079181355,10.466032688266289,3.5809629963058964,3.430746157377864,3.4416757505402713,50.0795177690547,1,29,193
emissary,procedural_professional,True,4.0,False,False,13.815010387767469,16.850663526197483,11.816798503358637,12.900051202413097,13.412227357659825,3.438436168537658,20.405345838114748,1,30,192
debugger,procedural_professional,False,0.0,False,False,11.389696332055557,13.36438096738137,11.364244093753575,13.962211095941097,9.945042164583828,3.419338802797542,25.585463413106595,1,31,191
procrastinator,other,True,2.0,False,True,76.0359590749521,68.00018119190129,75.67481375397007,66.59052821776235,64.71316527457539,3.2870159173259026,4.833834057073632,1,32,190
archaeologist,procedural_professional,True,4.0,False,False,18.044649077592616,23.088996667984958,21.65223691330443,17.298406586039413,19.827123418145085,3.261873249839873,14.127392786897333,4,33,189
designer,procedural_professional,False,0.0,False,False,13.606862454273475,26.005356894739798,6.671952974089584,13.462315236414156,22.809125236621846,3.196231658117952,12.29066638483422,2,34,188
skeptic,procedural_professional,True,3.0,False,False,42.60392194598627,22.980179155653982,30.937275717523384,17.56375108622874,19.845140782105148,3.1350383735488343,13.642358278906183,2,35,187
guardian,procedural_professional,True,4.0,False,False,19.695300347003478,10.923152689760657,18.134427253155348,7.9190852886973495,7.879081682302808,3.044071007457849,27.868062398426012,3,36,186
