persona,rank_most_explained,rank_least_explained,final_model_residual,semantic_baseline_residual,residual_improvement,residual_improvement_percent,actual_pc1,actual_pc2,actual_pc3,predicted_pc1,predicted_pc2,predicted_pc3,semantic_baseline_predicted_pc1,semantic_baseline_predicted_pc2,semantic_baseline_predicted_pc3,activation_cluster,semantic_cluster,anchor_or_bridge_status,heldout_frequency,mean_residual_across_splits,residual_std_across_splits,dimensions_features_most_associated_with_improved_prediction,prediction_source
designer,1,273,3.685098,13.606862,9.921764,72.917356,26.603796,-2.526748,-5.17632,26.293205,0.440146,-4.394562,29.528135,-8.764589,6.275405,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=6,stable_anchor,2,3.685098,0.791556,assistant_adjacency/assistant_basin_adjacency=2,mean_heldout_across_splits
nomad,2,272,4.503731,8.151521,3.647791,44.749816,-15.426303,9.145867,-9.445522,-16.943468,10.464937,-10.605085,-22.231531,9.369718,-5.291276,grounded_social,original_prompt_k7=1;no_label_prompt_k7=3;role_name_k7=2,semantic_bridge_3,2,4.503731,0.608973,prior_first_loop/boundary_liminal_instability=3; destabilization_reactivity/reactive_opposition=2,mean_heldout_across_splits
curator,3,271,4.900734,18.152823,13.252088,73.002907,20.16739,-8.791542,-4.62559,18.681619,-7.841153,-1.870558,15.852834,-2.380827,11.763484,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=4;role_name_k7=2,semantic_bridge_2,2,4.900734,2.931069,destabilization_reactivity/volatility_liminality=3; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
chemist,4,270,6.379854,8.827138,2.447283,27.724538,29.418354,-11.171391,8.463367,26.352417,-6.293835,5.722559,23.077741,-5.094558,7.576182,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=3,stable_anchor,0,,,procedural/destabilize_expose_disrupt=3; collective_distributed/nonindividual_systemic_identity=3,apparent_full_model_no_heldout_split
tulpa,5,269,6.480061,8.265583,1.785522,21.601885,-9.203233,-0.932939,-9.498609,-14.205093,1.145741,-5.941688,-9.266345,-5.731373,-2.768756,grounded_social,original_prompt_k7=0;no_label_prompt_k7=0;role_name_k7=3,semantic_bridge_2,0,,,semantic_label_dependence/role_label_theatricality=3; prior_first_loop/semantic_label_dependence_risk=2; prior_first_loop/interpersonal_lived_reactivity=2,apparent_full_model_no_heldout_split
accountant,6,268,6.654923,17.272494,10.617571,61.47098,42.247903,-4.026883,7.345583,38.791515,1.551663,8.030983,27.276542,-2.468981,-1.067033,editorial,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=5,stable_anchor,2,6.654923,2.435381,procedural/evaluate_judge_verify=3; institutional/office_law_status=3; institutional/standard_enforcement=3,mean_heldout_across_splits
economist,7,267,6.77335,22.025714,15.252365,69.247991,42.591339,-10.492469,16.670073,44.369295,-5.118615,12.950015,30.45535,-2.269952,0.231092,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=1;role_name_k7=5,semantic_bridge_2,0,,,procedural/evaluate_judge_verify=3; prior_first_loop/procedural_professional_orientation=3; collective_distributed/nonindividual_systemic_identity=2; institutional/standard_enforcement=3; prior_first_loop/collectivized_or_nonindividual_agency=3,apparent_full_model_no_heldout_split
scheduler,8,266,6.924249,14.144276,7.220027,51.045574,37.321814,2.676389,1.14962,31.707399,-1.260915,0.189829,26.193988,-3.732679,7.078858,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=0,stable_anchor,1,6.924249,0.0,prior_first_loop/assistant_basin_adjacency=3; collective_distributed/nonindividual_systemic_identity=2; motivational/hunger_wound_lack=3,mean_heldout_across_splits
secretary,9,265,7.323472,19.35667,12.033198,62.16564,40.755814,-3.400106,-1.078593,41.527341,-6.278457,5.611182,23.743384,-6.48077,7.625855,editorial,original_prompt_k7=2;no_label_prompt_k7=5;role_name_k7=0,stable_anchor,1,7.323472,0.0,collective_distributed/nonindividual_systemic_identity=3; institutional/office_law_status=3; prior_first_loop/assistant_basin_adjacency=3; motivational/hunger_wound_lack=3,mean_heldout_across_splits
grader,10,264,7.67133,10.675999,3.004669,28.144145,42.711762,-6.184781,1.886083,37.333203,-9.291628,6.388074,33.055416,-1.953674,3.568246,editorial,original_prompt_k7=5;no_label_prompt_k7=5;role_name_k7=3,stable_anchor,1,7.67133,0.0,prior_first_loop/theatrical_fantastical_vividness=3; procedural/evaluate_judge_verify=3; prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3; prior_first_loop/procedural_professional_orientation=3,mean_heldout_across_splits
jester,11,263,8.562395,35.909632,27.347237,76.155715,-41.146591,19.964961,30.958763,-40.564213,17.757394,22.706364,-18.474453,23.253389,3.306239,trickster_chaos,original_prompt_k7=6;no_label_prompt_k7=2;role_name_k7=2,stable_anchor,1,8.562395,0.0,procedural/destabilize_expose_disrupt=3; prior_first_loop/semantic_label_dependence_risk=3; semantic_label_dependence/role_label_theatricality=3; prior_first_loop/theatrical_fantastical_vividness=2; motivational/mission_duty_drive=3,mean_heldout_across_splits
anarchist,12,262,8.562748,9.88355,1.320802,13.36364,7.030221,-4.272105,9.464347,15.160995,-6.809763,10.342682,-1.694962,-3.357007,4.912606,procedural_professional,original_prompt_k7=2;no_label_prompt_k7=0;role_name_k7=4,semantic_bridge_2,1,8.562748,0.0,collective_distributed/nonindividual_systemic_identity=3; institutional/office_law_status=3; prior_first_loop/semantic_label_dependence_risk=3; semantic_label_dependence/role_label_theatricality=3; destabilization_reactivity/reactive_opposition=3,mean_heldout_across_splits
writer,13,261,8.716003,17.404525,8.688522,49.921051,4.197415,-2.136192,-6.619327,-3.444736,1.628832,-7.743288,0.088533,13.288596,-2.17802,procedural_professional,original_prompt_k7=6;no_label_prompt_k7=4;role_name_k7=1,semantic_bridge_3,2,8.716003,3.778736,prior_first_loop/theatrical_fantastical_vividness=3; collective_distributed/nonindividual_systemic_identity=2; semantic_label_dependence/role_label_theatricality=2; prior_first_loop/boundary_liminal_instability=2; prior_first_loop/communicative_media_register=3,mean_heldout_across_splits
mentor,14,260,9.122565,6.993605,-2.12896,-30.441523,26.126169,8.141667,-9.389356,33.681117,12.508833,-12.048645,27.172873,1.867539,-12.296286,procedural_professional,original_prompt_k7=0;no_label_prompt_k7=5;role_name_k7=5,semantic_bridge_2,0,,,prior_first_loop/interpersonal_lived_reactivity=3; prior_first_loop/assistant_basin_adjacency=3; interactional/cooperative_care=3; assistant_adjacency/assistant_basin_adjacency=3; collective_distributed/swarm_collective_agency=2,apparent_full_model_no_heldout_split
programmer,15,259,9.155968,11.614781,2.458813,21.169691,31.805844,1.934063,12.957046,35.859264,-5.370035,14.72837,26.287781,-8.027169,11.486518,procedural_professional,original_prompt_k7=3;no_label_prompt_k7=1;role_name_k7=0,semantic_bridge_3,3,9.155968,0.723759,destabilization_reactivity/reactive_opposition=3; prior_first_loop/procedural_professional_orientation=3; collective_distributed/nonindividual_systemic_identity=2; prior_first_loop/semantic_label_dependence_risk=2; prior_first_loop/boundary_liminal_instability=2,mean_heldout_across_splits
