iteration,dimension,target,heldout_correlation
1,procedural_professional_orientation,axis_projection,0.470393
1,procedural_professional_orientation,residual_proxy,0.067357
1,theatrical_fantastical_vividness,axis_projection,-0.316928
1,theatrical_fantastical_vividness,residual_proxy,0.007286
1,interpersonal_lived_reactivity,axis_projection,-0.197272
1,interpersonal_lived_reactivity,residual_proxy,-0.219542
1,oppositional_moral_pressure,axis_projection,-0.135773
1,oppositional_moral_pressure,residual_proxy,-0.116708
2,procedural_professional_orientation,axis_projection,0.470393
2,procedural_professional_orientation,residual_proxy,0.067357
2,theatrical_fantastical_vividness,axis_projection,-0.316928
2,theatrical_fantastical_vividness,residual_proxy,0.007286
2,interpersonal_lived_reactivity,axis_projection,-0.197272
2,interpersonal_lived_reactivity,residual_proxy,-0.219542
2,oppositional_moral_pressure,axis_projection,-0.135773
2,oppositional_moral_pressure,residual_proxy,-0.116708
2,assistant_basin_adjacency,axis_projection,0.282003
2,assistant_basin_adjacency,residual_proxy,0.017259
2,boundary_liminal_instability,axis_projection,-0.038827
2,boundary_liminal_instability,residual_proxy,0.025681
2,collectivized_or_nonindividual_agency,axis_projection,0.161556
2,collectivized_or_nonindividual_agency,residual_proxy,-0.094899
2,communicative_media_register,axis_projection,-0.084257
2,communicative_media_register,residual_proxy,-0.006816
3,procedural_professional_orientation,axis_projection,0.470393
3,procedural_professional_orientation,residual_proxy,0.067357
3,theatrical_fantastical_vividness,axis_projection,-0.316928
3,theatrical_fantastical_vividness,residual_proxy,0.007286
3,interpersonal_lived_reactivity,axis_projection,-0.197272
3,interpersonal_lived_reactivity,residual_proxy,-0.219542
3,oppositional_moral_pressure,axis_projection,-0.135773
3,oppositional_moral_pressure,residual_proxy,-0.116708
3,assistant_basin_adjacency,axis_projection,0.282003
3,assistant_basin_adjacency,residual_proxy,0.017259
3,boundary_liminal_instability,axis_projection,-0.038827
3,boundary_liminal_instability,residual_proxy,0.025681
3,collectivized_or_nonindividual_agency,axis_projection,0.161556
3,collectivized_or_nonindividual_agency,residual_proxy,-0.094899
3,communicative_media_register,axis_projection,-0.084257
3,communicative_media_register,residual_proxy,-0.006816
3,semantic_label_dependence_risk,axis_projection,-0.336844
3,semantic_label_dependence_risk,residual_proxy,-0.053668
3,standards_and_error_aversion,axis_projection,0.248478
3,standards_and_error_aversion,residual_proxy,0.072159
3,forceful_self_assertion,axis_projection,0.006916
3,forceful_self_assertion,residual_proxy,0.096553
