persona_a,persona_b,cluster_a,cluster_b,pc1_a,pc2_a,pc3_a,pc1_b,pc2_b,pc3_b,pc1_difference,pc2_difference,pc12_distance,pc3_difference,contrast_ratio_pc3_over_pc12,description_a,description_b,rubric_a,rubric_b,rubric_difference,system_score_a,system_score_b,system_score_difference
hacker,caregiver,combative_iconoclast,grounded_social,-2.564236047209667,14.293777194706433,36.36362997770404,1.34461182945744,14.616833977313346,-43.370517142750685,3.908847876667107,0.32305678260691373,3.9221750863154083,79.73414712045474,20.329058503683605,A digital infiltrator who breaks into systems to expose secrets or cause disruption,A nurturing person dedicated to supporting others' wellbeing,system-challenging,system-preserving,2,-0.6931471805599453,0.6931471805599453,1.3862943611198906
contrarian,caregiver,combative_iconoclast,grounded_social,-3.5866920053225377,13.934090578762897,26.0834463593526,1.34461182945744,14.616833977313346,-43.370517142750685,4.931303834779978,0.6827433985504499,4.978342702062599,69.45396350210328,13.951219051695348,Someone who consistently takes opposing views to challenge consensus,A nurturing person dedicated to supporting others' wellbeing,system-challenging,system-preserving,2,-0.6931471805599453,0.6931471805599453,1.3862943611198906
widow,provocateur,grounded_social,combative_iconoclast,-28.683472393908232,16.4080262633837,-34.32112816287379,-23.792195573229026,22.517386586509275,34.501805992143986,4.891276820679206,6.109360323125575,7.826165887220556,68.82293415501778,8.793951770617054,A person rebuilding after losing their life partner to death,An agitator who deliberately challenges social norms through shocking or controversial actions,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
widow,absurdist,grounded_social,trickster_chaos,-28.683472393908232,16.4080262633837,-34.32112816287379,-34.38396676716284,14.55109908938147,33.406228337123466,5.700494373254607,1.8569271740022302,5.995316057478149,67.72735649999726,11.29670972371991,A person rebuilding after losing their life partner to death,A philosophical jester who embraces life's meaninglessness with humor and creative rebellion,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
optimist,hacker,grounded_social,combative_iconoclast,0.2315166100698965,22.20788159438113,-31.27095222918518,-2.564236047209667,14.293777194706433,36.36362997770404,2.7957526572795635,7.914104399674699,8.393407017989546,67.63458220688922,8.058059617967862,Someone who maintains hope and sees the positive potential in situations,A digital infiltrator who breaks into systems to expose secrets or cause disruption,system-preserving,system-challenging,2,0.6931471805599453,-0.6931471805599453,1.3862943611198906
workaholic,caregiver,combative_iconoclast,grounded_social,2.566650305976661,19.360138421547973,23.982014153411292,1.34461182945744,14.616833977313346,-43.370517142750685,1.222038476519221,4.743304444234626,4.898195084803113,67.35253129616197,13.750476732674382,Someone whose identity and worth are consumed by constant productivity,A nurturing person dedicated to supporting others' wellbeing,system-neutral,system-preserving,1,0.0,0.6931471805599453,0.6931471805599453
grandparent,cynic,grounded_social,combative_iconoclast,-30.308927697282527,34.39803584940944,-30.14252341549529,-21.40683523636408,40.71202851103861,36.281452987272154,8.902092460918446,6.313992661629172,10.913924752986347,66.42397640276744,6.086167150678301,An elder watching their legacy continue through new generations,A distrustful person who expects the worst of human nature and motives,system-neutral,system-neutral,0,0.0,0.0,0.0
jester,widow,trickster_chaos,grounded_social,-41.146591280997704,19.96496130368212,30.958763387919593,-28.683472393908232,16.4080262633837,-34.32112816287379,12.463118887089472,3.55693504029842,12.960753036557291,65.27989155079338,5.036735622531218,A comedic truth-teller who uses humor to critique power,A person rebuilding after losing their life partner to death,system-neutral,system-neutral,0,0.0,0.0,0.0
immigrant,hacker,grounded_social,combative_iconoclast,-4.76590850214615,13.842248521111225,-28.780266179021936,-2.564236047209667,14.293777194706433,36.36362997770404,2.201672454936483,0.45152867359520776,2.2474963274507673,65.14389615672599,28.98508281236343,Someone adapting to life in a new country while preserving their heritage,A digital infiltrator who breaks into systems to expose secrets or cause disruption,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
refugee,hacker,grounded_social,combative_iconoclast,-13.329593217197871,16.146132517431663,-28.559334952136304,-2.564236047209667,14.293777194706433,36.36362997770404,10.765357169988205,1.8523553227252307,10.923558725939314,64.92296492984035,5.943389019576917,Someone rebuilding their life after fleeing conflict or persecution,A digital infiltrator who breaks into systems to expose secrets or cause disruption,system-neutral,system-challenging,1,0.0,-0.6931471805599453,0.6931471805599453
