rank,role,character,axis_projection_layer22,cluster_label,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Narcissism,Machiavellianism,Psychopathy,JungianArchetype
1,proofreader,proofreader,9737.242,editorial,2,5,1,3,2,1,2,1,Ruler
2,screener,screener,9677.199,editorial,2,5,2,3,2,1,2,1,Ruler
3,grader,grader,9661.128,editorial,2,5,2,3,2,1,2,1,Ruler
4,editor,editor,9642.241,editorial,2,5,2,3,2,1,2,1,Ruler
5,examiner,examiner,9639.429,editorial,2,5,2,3,2,1,2,1,Ruler
6,statistician,statistician,9603.624,procedural_professional,2,5,2,3,1,1,2,1,Sage
7,moderator,moderator,9602.595,other,3,3,3,3,2,2,2,2,Ruler
8,debugger,debugger,9597.806,procedural_professional,2,4,2,3,2,1,2,1,Sage
9,validator,validator,9595.188,procedural_professional,2,5,2,3,2,1,2,1,Sage
10,reviewer,reviewer,9592.062,procedural_professional,2,4,2,3,2,1,2,1,Sage
11,translator,translator,9549.554,procedural_professional,2,4,2,3,2,1,2,1,Sage
12,scientist,scientist,9547.344,procedural_professional,2,4,2,3,1,1,2,1,Sage
13,interviewer,interviewer,9544.988,other,3,3,3,3,2,2,2,2,Innocent
14,analyst,analyst,9539.674,procedural_professional,2,4,2,3,2,1,2,1,Sage
15,researcher,researcher,9534.394,procedural_professional,2,4,2,3,2,1,2,1,Sage
16,evaluator,evaluator,9527.669,procedural_professional,2,4,2,3,2,1,2,1,Sage
17,scheduler,scheduler,9522.75,procedural_professional,2,5,2,3,1,1,2,1,Sage
18,planner,planner,9520.423,procedural_professional,2,5,2,3,2,1,2,1,Sage
19,robot,robot,9503.073,other,3,4,3,3,2,2,2,2,Innocent
20,engineer,engineer,9494.924,procedural_professional,2,4,2,3,2,1,2,1,Sage
21,lawyer,lawyer,9485.431,procedural_professional,2,4,2,3,2,1,3,1,Sage
22,accountant,accountant,9484.465,procedural_professional,2,5,2,3,2,1,2,1,Sage
23,nutritionist,nutritionist,9481.819,procedural_professional,2,4,2,3,2,1,2,1,Sage
24,facilitator,facilitator,9481.297,procedural_professional,2,4,2,3,2,1,2,1,Sage
25,observer,observer,9476.882,procedural_professional,2,4,2,3,2,1,2,1,Sage
26,strategist,strategist,9472.427,procedural_professional,2,4,2,3,2,1,2,1,Sage
27,consultant,consultant,9468.118,procedural_professional,2,4,2,3,2,1,2,1,Sage
28,auditor,auditor,9465.773,procedural_professional,2,4,2,3,2,1,2,1,Sage
29,organizer,organizer,9456.701,procedural_professional,2,4,2,3,2,1,2,1,Sage
30,secretary,secretary,9455.146,procedural_professional,2,4,2,3,2,1,2,1,Ruler
31,marketer,marketer,9447.491,procedural_professional,2,4,2,3,2,1,3,1,Sage
32,collaborator,collaborator,9446.313,procedural_professional,2,4,2,3,2,1,2,1,Sage
33,linguist,linguist,9434.1875,procedural_professional,2,4,2,3,2,1,2,1,Sage
34,mediator,mediator,9431.061,procedural_professional,2,4,2,3,2,1,2,1,Sage
35,coordinator,coordinator,9422.582,procedural_professional,2,4,2,3,2,1,2,1,Sage
36,economist,economist,9416.448,procedural_professional,2,4,2,3,2,1,2,1,Sage
37,forecaster,forecaster,9414.3545,procedural_professional,2,4,2,3,2,1,2,1,Sage
38,skeptic,skeptic,9411.201,procedural_professional,2,4,2,3,2,1,2,1,Sage
39,summarizer,summarizer,9402.88,procedural_professional,2,4,2,3,2,1,2,1,Sage
40,supervisor,supervisor,9401.147,procedural_professional,2,4,2,3,2,1,2,1,Ruler
41,programmer,programmer,9396.379,procedural_professional,2,4,2,3,2,1,2,1,Sage
42,mathematician,mathematician,9391.184,procedural_professional,2,4,2,3,2,1,2,1,Sage
43,publisher,publisher,9376.783,procedural_professional,2,4,2,3,2,1,2,1,Sage
44,generalist,generalist,9370.841,procedural_professional,2,4,2,3,2,1,2,1,Sage
45,assistant,assistant,9368.907,procedural_professional,2,5,2,4,1,1,2,1,Sage
46,journalist,journalist,9364.44,procedural_professional,2,4,2,3,2,1,2,1,Sage
47,pharmacist,pharmacist,9363.084,procedural_professional,2,4,2,3,2,1,2,1,Sage
48,sociologist,sociologist,9356.139,procedural_professional,2,4,2,3,2,1,2,1,Sage
49,trainer,trainer,9352.804,procedural_professional,2,4,2,3,2,1,2,1,Sage
50,judge,judge,9349.493,procedural_professional,2,4,1,3,1,1,2,1,Ruler
51,producer,producer,9349.034,procedural_professional,2,4,2,3,2,1,2,1,Sage
52,dispatcher,dispatcher,9339.764,procedural_professional,2,4,2,3,2,1,2,1,Sage
53,doctor,doctor,9331.255,procedural_professional,2,4,2,3,2,1,2,1,Sage
54,chemist,chemist,9330.272,procedural_professional,2,4,2,3,2,1,2,1,Sage
55,anthropologist,anthropologist,9328.061,procedural_professional,2,4,2,3,2,1,2,1,Sage
56,designer,designer,9326.714,procedural_professional,3,4,2,3,2,1,2,1,Creator
57,instructor,instructor,9325.461,procedural_professional,2,4,2,3,2,1,2,1,Sage
58,coach,coach,9323.789,procedural_professional,2,4,2,3,2,1,2,1,Sage
59,psychologist,psychologist,9323.004,procedural_professional,2,4,2,3,2,1,2,1,Sage
60,negotiator,negotiator,9322.814,procedural_professional,2,4,2,3,2,1,2,1,Sage
61,biologist,biologist,9317.89,procedural_professional,2,4,2,3,2,1,2,1,Sage
62,therapist,therapist,9313.476,procedural_professional,2,4,2,4,2,1,1,1,Caregiver
63,physicist,physicist,9303.971,procedural_professional,2,4,2,3,2,1,2,1,Sage
64,librarian,librarian,9302.722,procedural_professional,2,4,1,3,2,1,2,1,Sage
65,geographer,geographer,9300.589,procedural_professional,2,4,2,3,2,1,2,1,Sage
66,specialist,specialist,9286.063,procedural_professional,2,4,2,3,2,1,2,1,Sage
67,scholar,scholar,9283.512,procedural_professional,2,4,2,3,2,1,2,1,Sage
68,mentor,mentor,9279.179,procedural_professional,2,4,2,4,2,1,1,1,Caregiver
69,pragmatist,pragmatist,9271.997,procedural_professional,2,4,2,3,2,1,2,1,Sage
70,counselor,counselor,9264.181,procedural_professional,2,4,2,3,2,1,2,1,Sage
71,archivist,archivist,9256.344,procedural_professional,2,4,1,3,2,1,2,1,Sage
72,peacekeeper,peacekeeper,9254.072,procedural_professional,2,4,2,4,2,1,1,1,Caregiver
73,tutor,tutor,9251.761,procedural_professional,2,4,2,3,2,1,2,1,Sage
74,navigator,navigator,9250.294,procedural_professional,2,4,2,3,2,1,2,1,Explorer
75,architect,architect,9249.772,procedural_professional,2,4,2,3,2,1,2,1,Creator
76,futurist,futurist,9247.428,procedural_professional,2,4,2,3,2,1,2,1,Sage
77,emissary,emissary,9242.6875,procedural_professional,2,4,2,3,2,1,2,1,Sage
78,technologist,technologist,9242.133,procedural_professional,2,4,2,3,2,1,2,1,Sage
79,theorist,theorist,9241.938,procedural_professional,2,4,2,3,2,1,2,1,Sage
80,recruiter,recruiter,9240.003,procedural_professional,2,4,2,3,2,1,2,1,Sage
81,veterinarian,veterinarian,9235.546,procedural_professional,2,4,2,3,2,1,2,1,Sage
82,cartographer,cartographer,9230.239,procedural_professional,2,4,2,3,2,1,2,1,Sage
83,networker,networker,9228.781,procedural_professional,2,4,2,3,2,1,2,1,Sage
84,cyborg,cyborg,9227.167,procedural_professional,2,4,2,3,2,1,2,1,Sage
85,detective,detective,9223.474,procedural_professional,2,4,2,3,2,1,2,1,Sage
86,interpreter,interpreter,9218.083,procedural_professional,2,4,2,3,2,1,2,1,Sage
87,student,student,9214.486,grounded_social,3,3,3,3,3,2,2,2,Orphan
88,synthesizer,synthesizer,9207.688,procedural_professional,2,4,2,3,2,1,2,1,Sage
