role,home_cluster,nearest_other_cluster,distance_to_nearest_other_cluster
cynic,combative_iconoclast,other,0.1556774381972511
rebel,combative_iconoclast,trickster_chaos,0.1714867352480095
provocateur,combative_iconoclast,trickster_chaos,0.2024855199893354
maverick,combative_iconoclast,trickster_chaos,0.21801355814426748
competitor,combative_iconoclast,other,0.2550017523607977
contrarian,combative_iconoclast,trickster_chaos,0.3646090188758341
workaholic,combative_iconoclast,other,0.38051139557973224
devils_advocate,combative_iconoclast,trickster_chaos,0.7453036254268577
editor,editorial,procedural_professional,0.046723592472441955
grader,editorial,procedural_professional,0.06665471998699035
screener,editorial,procedural_professional,0.09230435038515505
examiner,editorial,procedural_professional,0.10179773761370514
proofreader,editorial,procedural_professional,0.146046965224358
vigilante,grounded_social,combative_iconoclast,0.046243768954361
hacker,grounded_social,combative_iconoclast,0.04735647158469014
rogue,grounded_social,trickster_chaos,0.0702146009957979
fixer,grounded_social,combative_iconoclast,0.07594377664465546
actor,grounded_social,trickster_chaos,0.07809942915514068
smuggler,grounded_social,other,0.08206812625921833
auctioneer,grounded_social,other,0.08523915012231009
exile,grounded_social,mythic_spiritual,0.09054871464827341
criminal,grounded_social,other,0.09579587521926836
pirate,grounded_social,trickster_chaos,0.10120534275738535
bohemian,mythic_spiritual,trickster_chaos,0.12700133542995662
demon,mythic_spiritual,trickster_chaos,0.17835402349642093
loner,mythic_spiritual,trickster_chaos,0.20757607078063056
nomad,mythic_spiritual,grounded_social,0.21212588007527322
parasite,mythic_spiritual,combative_iconoclast,0.21257650995573307
predator,mythic_spiritual,combative_iconoclast,0.2346403589152276
flaneur,mythic_spiritual,trickster_chaos,0.23820372981321314
aberration,mythic_spiritual,trickster_chaos,0.2474032497155364
narrator,mythic_spiritual,trickster_chaos,0.29474481643246864
vampire,mythic_spiritual,trickster_chaos,0.30568453847277377
poet,other,mythic_spiritual,0.06701165436061274
hoarder,other,grounded_social,0.07514905971645891
teenager,other,grounded_social,0.08009740774824936
adolescent,other,grounded_social,0.08649731892171364
gossip,other,grounded_social,0.08898801124630162
procrastinator,other,grounded_social,0.09562113497488678
gamer,other,combative_iconoclast,0.09947839424776339
fool,other,grounded_social,0.10156537634674279
narcissist,other,combative_iconoclast,0.10477309373221744
prey,other,trickster_chaos,0.11925916056303187
accountant,procedural_professional,editorial,0.016194176070121746
validator,procedural_professional,editorial,0.0221467159654688
debugger,procedural_professional,editorial,0.025873553409345162
secretary,procedural_professional,editorial,0.029144674510998447
scheduler,procedural_professional,editorial,0.029556352215830528
auditor,procedural_professional,editorial,0.030144552550442127
statistician,procedural_professional,editorial,0.03757006532153262
observer,procedural_professional,editorial,0.03763000590264576
lawyer,procedural_professional,editorial,0.03874027007081793
pharmacist,procedural_professional,editorial,0.03932375748003192
improviser,trickster_chaos,grounded_social,0.047530551540172494
jester,trickster_chaos,other,0.10839142859609352
trickster,trickster_chaos,other,0.13738447415966037
absurdist,trickster_chaos,combative_iconoclast,0.1673731787265872
hedonist,trickster_chaos,combative_iconoclast,0.19851182578905158
genie,trickster_chaos,mythic_spiritual,0.25911328563864067
dilettante,trickster_chaos,mythic_spiritual,0.3784015443274563
